r_cntr,object_id,ngood,flags,smss_j,raj2000,dej2000,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_psf,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_psf,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_psf,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_psf,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
88.61,430155774,28,3,100050.71-544754.2,150.211267,-54.798382,36,50,58067.8694,0,0.982,,,,,,,,,,,,,19.0751,0.0151,18.899,0.0481,19.0962,0.0262,17.9887,0.0225,17.8035,0.1023,18.0197,0.0229,17.1132,0.0096,17.0962,0.0623,17.123,0.0157,16.572,0.0125,16.631,0.0315,16.5887,0.0176,5.75,430155773
89.23,430155583,26,3,100045.68-544604.3,150.190282,-54.767859,36,36,58018.7643,0,0.963,,,,,,,,,,,,,17.952,0.0476,17.9958,0.1137,18.0681,0.0999,17.3342,0.0422,17.1146,0.1276,17.3005,0.0442,16.6719,0.0241,16.4352,0.0122,16.6869,0.0138,16.2695,0.0209,16.0165,0.0379,16.2717,0.0165,6.7,430155547
89.24,430156017,11,515,100040.41-544852.8,150.168178,-54.814771,97,268,58012.0625,0,0.94,17.1833,,19.2388,,18.2886,,,,,,,,19.0201,0.1097,18.4879,0.0868,19.0511,0.0534,,,,,,,17.708,0.0341,17.6351,0.0382,17.6723,0.0256,17.4171,0.0376,17.3459,0.0428,17.3969,0.0436,3.55,1524774884
89.49,430155498,14,1,100051.43-544721.4,150.214195,-54.78927,44,36,58215.8582,0,0.966,,,,,,,,,,,,,19.4564,0.0288,19.6639,0.1297,19.4985,0.0339,18.7643,0.0407,19.0644,0.1383,18.7431,0.068,18.0585,0.0169,18.0667,0.0489,18.0537,0.0263,17.6766,0.0205,17.817,0.0922,17.6917,0.0335,7.03,430155622
89.52,430163740,1,513,100031.83-544644.1,150.132571,-54.778875,36,73,58831.6968,0,0.938,,,,,,,,,,,,,,,,,,,,,,,,,18.156,,18.5375,,18.421,,17.89,0.039,18.1571,0.1361,17.9185,0.0778,8.95,430155987
89.83,2618878298,4,3,100030.79-544710.8,150.128306,-54.786335,71,48,56979.0817,0,0.937,,,,,,,,,,,,,,,,,,,17.9704,0.2328,18.0626,0.1553,18.111,0.1438,17.3588,0.2042,16.8437,0.0835,17.5045,0.0812,17.1945,0.1246,17.2673,0.0987,17.2908,0.0933,2.14,430156000
89.94,430155654,5,3,100040.74-544554.3,150.16968,-54.765069,36,36,57295.1448,0,0.958,,,,,,,,,,,,,,,,,,,,,,,,,17.6703,0.0375,17.6036,0.2447,17.7116,0.1077,17.2884,0.0378,17.342,0.0761,17.3108,0.0502,4.6,430155655
89.99,430155547,48,3,100046.39-544606.9,150.193269,-54.768559,37,43,58281.7846,2,0.989,17.8764,0.0262,17.8427,0.1406,17.8895,0.032,17.5928,0.0163,17.6171,0.0425,17.5879,0.0195,16.3184,0.0144,16.0563,0.0421,16.3777,0.02,15.9582,0.0147,15.6306,0.0655,16.0391,0.0295,15.7043,0.0077,15.6983,0.0252,15.7103,0.0116,15.6201,0.0113,15.6707,0.0351,15.6323,0.0145,6.2,430155546
90.54,430155869,40,0,100044.42-544850.2,150.185,-54.81388,45,72,58230.6631,5,0.983,18.6585,0.1534,18.8436,0.131,18.7268,0.1036,18.5458,0.0323,18.7005,0.0925,18.5565,0.0402,17.2038,0.0101,17.2624,0.0175,17.2095,0.0137,16.7104,0.01,16.7863,0.0163,16.7043,0.0154,16.3136,0.0094,16.3389,0.0185,16.3249,0.0134,16.1063,0.0131,16.1215,0.0252,16.1154,0.0168,10.71,430156010
90.71,430155604,9,3,100051.31-544704.8,150.21379,-54.784658,36,36,57190.6348,0,0.951,,,,,,,,,,,,,17.8346,0.0327,18.0022,0.1638,17.9304,0.144,17.0545,0.0449,16.97,0.1159,17.0565,0.0369,16.3414,0.0326,16.2584,0.0552,16.3316,0.0275,,,,,,,5.88,430155603
90.85,430155606,41,2,100048.91-544623.8,150.203769,-54.773251,36,81,58086.208,0,0.987,,,,,,,,,,,,,16.8082,0.0095,16.8102,0.0136,16.8189,0.012,16.1448,0.0087,16.1497,0.015,16.155,0.0127,15.6959,0.0085,15.6902,0.0108,15.7003,0.011,15.5047,0.0106,15.5462,0.0134,15.5074,0.0134,4.91,430155545
90.86,2618878300,13,3,100030.63-544713.5,150.127627,-54.787101,71,94,57687.199,0,0.966,,,,,,,,,,,,,,,,,,,17.6255,0.0679,16.8537,0.1857,17.7241,0.0289,17.1362,0.0428,17.1073,0.1916,17.1146,0.0606,16.8321,0.0663,16.6423,0.2636,16.751,0.0959,1.25,430156000
91.12,430156000,16,3,100030.66-544713.2,150.127576,-54.786755,177,36,58209.0142,2,0.375,,,,,,,,,,,,,17.7826,0.1809,17.5961,0.1043,18.1577,0.0221,17.0665,0.283,16.7131,0.0354,17.5089,0.0399,16.3953,0.1185,16.2903,0.066,16.8349,0.0179,15.9793,0.1182,16.0428,0.0386,16.5374,0.0203,1.25,2618878300
91.27,2618877890,0,24,100042.22-544553.4,150.175919,-54.76484,36,36,57743.6928,4,0.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7278,,18.8056,,18.758,,2.94,430155644
91.28,430156019,16,3,100039.92-544855.0,150.166348,-54.815246,43,36,58013.4173,0,0.977,,,,,,,,,,,,,18.9934,0.023,18.7681,0.0807,19.004,0.0518,18.0609,0.09,18.174,0.2319,18.1472,0.1086,17.518,0.0345,17.2315,0.1495,17.463,0.0216,17.0918,0.0231,17.0218,0.0718,17.0565,0.0299,3.95,1524774884
91.31,430156061,4,0,100031.49-544802.5,150.131157,-54.800671,36,68,58015.6938,0,0.556,,,,,,,,,,,,,,,,,,,,,,,,,19.1519,0.0259,19.7127,0.1571,19.3589,0.0958,18.6326,0.0362,19.2613,0.2307,18.9489,0.1714,10.63,430156066
91.49,430155781,33,0,100049.66-544817.6,150.206893,-54.804877,36,59,58127.0999,2,0.975,,,,,,,,,,,,,18.2473,0.029,18.295,0.0214,18.2618,0.018,17.6821,0.0287,17.7451,0.0266,17.6641,0.0207,17.1458,0.0251,17.1949,0.015,17.1219,0.0148,16.7989,0.0259,16.8593,0.0214,16.7531,0.0182,10.57,430155780
91.64,430155656,28,1,100039.48-544553.5,150.164361,-54.764882,88,53,58131.3299,0,0.98,,,,,,,,,,,,,17.7572,0.0196,17.6554,0.0295,17.7705,0.0185,17.268,0.0281,17.1042,0.0469,17.251,0.0235,16.8032,0.0267,16.6154,0.0299,16.8275,0.0163,16.621,0.0267,16.3764,0.051,16.6219,0.0219,11.07,430155654
91.66,430155585,7,0,100043.79-544555.8,150.182377,-54.765425,36,36,58458.2028,0,0.392,,,,,,,,,,,,,,,,,,,19.4653,0.1247,19.6677,0.1425,19.4318,0.0736,18.5294,0.0975,18.6303,0.0672,18.4917,0.0354,17.9139,0.1638,18.1625,0.099,17.9221,0.056,8.64,430155584
91.81,430163484,15,0,100033.40-544620.8,150.139122,-54.772426,36,36,57989.0713,0,0.97,,,,,,,,,,,,,19.6606,0.0234,19.9191,0.125,19.6724,0.0579,18.526,0.1707,18.8328,0.0687,18.7156,0.1073,17.9966,0.0131,18.2036,0.0301,18.0373,0.0241,17.596,0.0263,17.906,0.0495,17.6434,0.033,7.58,430163485
92.59,430155496,8,3,100051.72-544714.7,150.215469,-54.787405,64,91,58065.4363,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,18.5407,0.0931,17.7936,0.1487,18.5004,0.0401,18.0493,0.109,17.46,0.1443,18.0551,0.0474,5.62,430155479
92.7,430155799,33,3,100048.25-544832.8,150.201168,-54.809084,68,97,58129.0684,0,0.905,,,,,,,,,,,,,18.5038,0.0611,18.237,0.0557,18.5476,0.0202,17.7125,0.0695,17.3904,0.0812,17.9391,0.0705,17.175,0.0346,16.8243,0.0543,17.1879,0.0327,16.7494,0.0326,16.5541,0.0465,16.7146,0.018,3.79,2618878057
92.74,430155644,28,3,100041.92-544552.1,150.174767,-54.764366,72,59,58123.5003,0,0.648,,,,,,,18.9376,0.0818,18.9205,0.1128,18.9792,0.0977,17.5763,0.0337,17.1629,0.0386,17.8206,0.0533,16.8503,0.0751,16.4846,0.0267,17.1566,0.067,16.1963,0.0989,15.938,0.0427,16.5407,0.0439,15.7924,0.1124,15.6593,0.0686,16.2055,0.042,2.94,2618877890
92.88,430155867,13,17,100046.34-544845.1,150.193056,-54.812523,37,57,58037.4531,0,0.977,,,,,,,,,,,,,19.0738,0.0515,19.0456,0.0733,19.1332,0.0565,18.3471,,18.7658,,18.5181,,17.7098,0.0169,17.8115,0.0277,17.736,0.0249,17.3648,0.0192,17.5252,0.038,17.4233,0.0318,9.09,430155866
93.21,430155773,32,3,100051.07-544759.3,150.212746,-54.799732,36,58,58104.5231,0,0.986,,,,,,,,,,,,,18.7708,0.0184,18.7007,0.0338,18.7735,0.0222,17.5818,0.02,17.5523,0.0469,17.5721,0.0208,16.4705,0.0117,16.4089,0.0191,16.4706,0.0127,15.8116,0.0117,15.8122,0.0151,15.8076,0.0147,5.75,430155774
93.22,430155586,5,1,100042.78-544552.2,150.17817,-54.76447,36,43,58352.6507,0,0.833,,,,,,,,,,,,,,,,,,,,,,,,,18.7964,0.0287,18.9773,0.0776,18.8416,0.0522,18.0209,0.0324,18.1891,0.0782,18.045,0.0607,4.86,2618877890
93.34,430156031,16,3,100038.92-544855.6,150.162109,-54.815444,36,36,57930.5205,0,0.978,,,,,,,,,,,,,18.4941,0.0272,18.448,0.0546,18.4855,0.0385,17.921,0.054,17.9416,0.197,18.0303,0.0899,17.4979,0.015,17.5221,0.0391,17.5145,0.028,17.1303,0.0231,17.1971,0.0479,17.1518,0.0292,7.02,430156021
93.41,430163739,55,3,100031.92-544634.5,150.132984,-54.776251,36,39,58078.1917,0,0.983,17.2129,0.0229,17.2652,0.0378,17.2215,0.0215,16.8539,0.0127,16.8309,0.0262,16.8568,0.0149,15.6744,0.0103,15.6554,0.0105,15.683,0.0111,15.2945,0.0119,15.2682,0.0118,15.3011,0.0115,15.0629,0.0125,15.0328,0.0094,15.0712,0.0107,14.9651,0.0149,14.9214,0.0121,14.969,0.0133,8.14,430163741
93.6,430156066,36,3,100031.82-544812.7,150.132532,-54.803516,43,48,57997.1188,0,0.983,,,,,,,,,,,,,17.6678,0.0147,17.63,0.0491,17.6833,0.0178,17.101,0.0163,17.052,0.0544,17.132,0.0187,16.7036,0.0089,16.7818,0.0181,16.7118,0.014,16.4869,0.0116,16.6207,0.0191,16.489,0.0179,6.66,430156067
93.6,430155545,3,3,100048.83-544618.9,150.203401,-54.771903,78,68,57876.3385,0,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7963,0.0461,17.8169,0.1096,17.7264,0.0584,4.91,430155606
93.81,2618878057,1,3,100048.67-544831.0,150.202803,-54.808616,36,36,58831.6968,0,0.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2904,0.0817,18.482,0.1288,18.309,0.1015,3.79,430155799
94.08,430155779,8,0,100050.63-544809.5,150.210878,-54.802576,36,36,58368.8885,0,0.772,,,,,,,,,,,,,,,,,,,19.7488,0.0423,19.9055,0.1429,19.8165,0.0991,19.0191,0.0194,19.1894,0.0641,19.0843,0.0482,18.5784,0.0675,18.8662,0.131,18.6861,0.0959,7.94,430155780
94.09,2618878317,0,1027,100041.73-544858.0,150.1739,-54.816127,36,36,58831.6982,0,0.924,,,,,,,,,,,,,,,,,,,,,,,,,18.4907,,18.8625,,18.5309,,,,,,,,4.6,430156014
94.23,430156014,25,3,100042.29-544857.8,150.176116,-54.816056,68,52,58171.7682,2,0.98,,,,,,,,,,,,,17.6927,0.0353,17.6065,0.0274,17.7186,0.0356,17.0162,0.0212,16.9611,0.0373,17.0368,0.0211,16.4764,0.015,16.4268,0.0318,16.4847,0.0159,16.1461,0.0377,16.0915,0.0288,16.2059,0.0582,4.6,2618878317
94.43,430156064,24,0,100033.12-544829.0,150.138005,-54.808044,36,48,57928.9783,2,0.976,,,,,,,,,,,,,18.641,0.0155,18.7973,0.04,18.6404,0.026,18.0267,0.0183,18.16,0.0534,18.0232,0.0276,17.5057,0.0151,17.5476,0.0232,17.4758,0.0181,17.1136,0.0165,17.2036,0.0406,17.0868,0.0235,9.43,430156063
94.53,430155603,21,3,100051.63-544659.6,150.215065,-54.783201,55,63,57947.7008,0,0.984,,,,,,,,,,,,,16.9161,0.0186,16.1622,0.095,17.0429,0.0343,16.0675,0.0307,15.5098,0.1934,16.1287,0.026,15.3877,0.0178,14.9404,0.1012,15.4006,0.0126,,,,,,,3.79,430155602
95.14,430156068,43,3,100030.26-544741.2,150.126014,-54.794808,44,108,58055.5602,3,1.0,18.3654,0.0862,18.3464,0.1075,18.3452,0.0897,18.382,0.0664,18.1884,0.2297,18.3137,0.1034,15.0716,0.0085,15.071,0.0072,15.0773,0.0096,13.9811,0.0083,13.9878,0.0077,13.9834,0.0106,13.0746,0.0076,13.0873,0.0072,13.0789,0.0103,12.5503,0.0108,12.5659,0.0103,12.5555,0.0132,9.92,430156003
95.48,430156042,7,0,100035.64-544847.3,150.148389,-54.813106,36,36,58235.5105,0,0.783,,,,,,,,,,,,,,,,,,,19.6054,0.0531,19.7394,0.1074,19.6769,0.0886,18.8286,0.0237,18.8988,0.0772,18.8726,0.0536,18.2886,0.0817,18.4179,0.0876,18.4374,0.0769,7.62,430156045
95.51,430163747,54,3,100030.44-544658.6,150.126769,-54.782942,39,109,58079.2577,0,0.983,17.2694,0.0368,17.1803,0.0517,17.3367,0.0225,16.799,0.0409,16.6418,0.0286,16.889,0.015,14.6092,0.0262,14.5261,0.0069,14.687,0.0093,13.8686,0.0243,13.799,0.0077,13.9336,0.0106,13.3021,0.023,13.242,0.0074,13.352,0.0106,12.9885,0.022,12.9297,0.0104,13.0275,0.0133,12.62,2618878298
95.59,430163486,4,0,100032.33-544625.9,150.13461,-54.773846,36,36,58287.6944,0,0.534,,,,,,,,,,,,,,,,,,,,,,,,,19.2343,0.0293,19.8261,0.121,19.4728,0.0969,18.6623,0.0644,19.0791,0.2062,18.8457,0.1567,6.04,430163487
95.66,430155804,28,1,100047.61-544841.2,150.198412,-54.811446,36,63,58105.0675,0,0.972,,,,,,,,,,,,,18.8209,0.0374,18.6395,0.0352,18.8569,0.0231,17.8011,0.024,17.5188,0.0323,17.8126,0.021,16.8623,0.0149,16.705,0.0309,16.8661,0.0159,16.2751,0.0176,16.2002,0.0301,16.275,0.019,10.25,430155799
95.72,430163478,59,3,100034.26-544608.7,150.142729,-54.769081,36,36,58129.7741,4,0.993,15.4509,0.0147,15.4611,0.0157,15.4522,0.0154,15.3387,0.0093,15.3528,0.0113,15.342,0.0109,14.2894,0.0074,14.3065,0.0075,14.2841,0.0091,13.5932,0.0092,13.6061,0.0109,13.5916,0.0105,12.9773,0.0073,13.0029,0.0072,12.9722,0.0101,12.7005,0.0101,12.7318,0.0097,12.6991,0.0126,8.81,430163480
96.05,430156004,11,0,100029.98-544724.0,150.124825,-54.789966,36,36,58187.52,0,0.953,,,,,,,,,,,,,19.6547,0.0266,19.8352,0.0901,19.6635,0.0573,18.8205,0.0348,18.976,0.0735,18.8344,0.0499,18.1465,0.0147,18.291,0.0344,18.1219,0.0255,17.7247,0.0224,17.863,0.0776,17.7089,0.0383,9.04,430156006
96.19,430155873,13,1,100043.49-544858.0,150.18126,-54.816109,133,62,57838.3965,0,0.624,,,,,,,,,,,,,18.9235,0.0739,18.891,0.0617,18.9618,0.0244,18.2525,0.0383,18.1742,0.0415,18.1943,0.0299,17.721,0.0405,17.4183,0.073,17.4842,0.0485,16.7787,0.1542,16.3227,0.174,16.8634,0.0528,4.09,2618878151
96.19,430155546,9,3,100046.76-544601.5,150.194776,-54.767073,71,61,57744.9493,0,0.959,,,,,,,,,,,,,,,,,,,,,,,,,17.8167,0.0233,17.8452,0.0519,17.8374,0.0314,17.3958,0.02,17.4678,0.0526,17.4333,0.0331,6.2,430155547
96.41,430156001,17,3,100030.03-544711.4,150.125071,-54.786465,55,114,57833.5988,0,0.954,,,,,,,,,,,,,,,,,,,,,,,,,17.4679,0.0389,17.1622,0.0788,17.4411,0.0223,16.8366,0.0305,16.5894,0.0696,16.8301,0.0231,5.3,430156000
96.66,430163746,49,3,100030.81-544645.9,150.128347,-54.779405,36,38,58133.8551,0,0.983,17.925,0.0293,18.0319,0.0568,17.9302,0.0469,17.4666,0.0364,17.5503,0.0926,17.4781,0.0366,16.4187,0.012,16.386,0.0302,16.416,0.0152,15.8652,0.0128,15.8871,0.0154,15.8642,0.0155,15.3466,0.0449,15.3542,0.0458,15.3674,0.0433,15.1388,0.0198,15.1595,0.0315,15.1254,0.0223,8.44,430163742
97.05,430155582,59,3,100045.50-544555.1,150.189552,-54.765271,36,36,58288.1012,2,0.995,16.4955,0.0157,16.5079,0.0302,16.5004,0.017,16.1595,0.0095,16.176,0.0175,16.1534,0.0113,14.8944,0.0068,14.9007,0.0067,14.8917,0.0095,14.5366,0.008,14.5501,0.0128,14.5366,0.0112,14.3265,0.0076,14.3333,0.0071,14.3224,0.0106,14.25,0.0109,14.2663,0.0102,14.2446,0.0131,5.7,430155581
97.09,430156044,8,3,100034.19-544840.9,150.142412,-54.811344,36,67,58065.4363,0,0.917,,,,,,,,,,,,,,,,,,,,,,,,,18.3959,0.0152,18.5478,0.0445,18.4236,0.0338,17.9468,0.0235,18.1353,0.0818,17.9994,0.0461,6.86,430156043
97.24,430155658,8,0,100038.21-544550.2,150.159175,-54.763919,36,36,58477.4857,0,0.912,,,,,,,,,,,,,19.5577,0.0348,19.7977,0.0846,19.5885,0.0543,18.9363,0.038,19.1601,0.0706,18.9671,0.0537,18.3248,0.0205,18.4808,0.0398,18.3545,0.0324,17.9038,0.0258,18.1282,0.0686,17.9476,0.0569,11.32,430155656
97.88,430155602,1,3,100052.05-544700.6,150.216842,-54.783442,36,36,57053.6257,0,0.921,,,,,,,,,,,,,,,,,,,,,,,,,17.5049,0.0622,17.6763,0.1115,17.58,0.0897,,,,,,,3.79,430155603
98.02,430155479,29,3,100052.33-544712.6,150.217997,-54.786845,54,53,57858.9187,0,0.981,,,,,,,,,,,,,17.9207,0.0149,17.8626,0.0496,17.9361,0.0195,17.3955,0.0357,17.2255,0.0808,17.4196,0.0234,16.8975,0.0124,16.9605,0.0783,16.9406,0.0156,16.5723,0.0169,16.7521,0.04,16.6296,0.0208,5.62,430155496
98.07,430156043,35,3,100034.76-544845.6,150.144789,-54.81267,50,78,57997.3957,3,0.979,,,,,,,,,,,,,17.7883,0.0223,17.7024,0.0271,17.7924,0.021,17.2671,0.0272,17.011,0.0454,17.2313,0.0283,16.8662,0.017,16.6823,0.05,16.8223,0.0144,16.6514,0.0217,16.5175,0.0464,16.6008,0.0185,6.11,430156045
98.56,430155497,0,1539,100052.48-544727.8,150.218554,-54.791047,36,76,58014.5561,0,0.968,,,,,,,,,,,,,,,,,,,,,,,,,18.3952,,19.0707,,18.5912,,17.5309,,17.8784,,17.6427,,5.78,430155495
98.64,430163463,21,0,100035.65-544557.4,150.148529,-54.765931,36,36,57967.8284,0,0.925,,,,,,,,,,,,,18.8847,0.0424,18.9227,0.0696,18.8682,0.0288,18.1115,0.0381,18.1896,0.0476,18.0755,0.0279,17.4833,0.0326,17.4888,0.0212,17.433,0.0199,17.1423,0.0326,17.208,0.0395,17.0737,0.0266,10.85,2618877932
98.65,430156032,25,3,100038.11-544859.4,150.158709,-54.816495,54,60,58083.364,0,0.967,,,,,,,,,,,,,17.7972,0.0272,17.7118,0.0446,17.7787,0.0193,17.1728,0.0365,16.977,0.0523,17.1231,0.0217,16.6418,0.0147,16.4403,0.0515,16.6084,0.0157,16.3388,0.0209,16.2584,0.0391,16.2982,0.0206,8.0,430156031
98.72,430155803,16,3,100048.88-544836.4,150.203567,-54.810082,71,36,58125.0941,0,0.585,,,,,,,,,,,,,19.4699,0.1374,18.9195,0.0575,19.6503,0.0583,18.7025,0.1703,18.143,0.0646,18.8564,0.0563,17.9726,0.1238,17.4559,0.0896,17.9828,0.0253,17.4463,0.1067,16.9825,0.1018,17.5084,0.0413,5.51,2618878057
99.38,430163485,36,3,100032.75-544615.5,150.136505,-54.770959,63,47,57988.0511,0,0.981,,,,,,,18.717,0.0341,18.6626,0.2706,18.6731,0.0567,17.3118,0.0129,17.2975,0.0142,17.3135,0.0157,16.8541,0.0183,16.8842,0.0524,16.8511,0.0238,16.4094,0.0117,16.4152,0.0135,16.3799,0.0131,16.1406,0.0143,16.1714,0.0203,16.1099,0.016,6.7,430163480
99.45,430163741,9,1,100031.01-544636.3,150.129145,-54.776706,36,85,58126.2181,0,0.691,,,,,,,,,,,,,,,,,,,,,,,,,18.1087,0.1058,18.1254,0.056,18.0987,0.0281,17.6234,0.0999,17.4589,0.1539,17.5713,0.0541,8.14,430163739
99.89,430155780,18,3,100050.88-544816.9,150.211978,-54.804689,36,36,57827.3267,0,0.981,,,,,,,,,,,,,18.3562,0.1014,18.5328,0.0516,18.396,0.0359,17.8978,0.0394,18.0595,0.1482,17.9806,0.1177,17.375,0.011,17.4497,0.0279,17.3866,0.0183,17.0565,0.014,17.1895,0.0263,17.0909,0.0222,6.51,430155778
100.11,430163480,4,0,100033.28-544610.3,150.138556,-54.769522,96,51,56979.0817,0,0.834,,,,,,,,,,,,,,,,,,,17.8332,0.3977,17.6562,0.1619,18.0396,0.1349,17.7445,0.1178,17.817,0.1036,17.8335,0.0864,17.3394,0.1241,17.1616,0.1205,17.3145,0.0948,6.7,430163485
100.16,430155601,5,1,100052.12-544654.2,150.217143,-54.781719,39,55,58178.8949,0,0.672,,,,,,,,,,,,,,,,,,,,,,,,,19.1322,0.0728,19.2563,0.1858,19.1116,0.0758,18.4867,0.0502,18.4242,0.0851,18.517,0.0695,5.93,430155600
100.19,430156067,8,3,100031.11-544815.4,150.129573,-54.804236,36,83,58260.292,2,0.807,,,,,,,,,,,,,,,,,,,,,,,,,18.2581,0.076,17.9341,0.0488,18.2683,0.0276,17.9357,0.0685,17.7837,0.0605,17.8783,0.0443,6.66,430156066
100.27,2618878151,0,17,100043.57-544902.0,150.181548,-54.817234,57,1341,58530.7161,0,0.473,,,,,,,,,,,,,,,,,,,,,,,,,15.4728,,15.8608,,16.8859,,14.1227,,14.6705,,16.7088,,4.09,430155873
100.3,430155584,29,0,100044.04-544547.2,150.183441,-54.763104,36,51,58090.8244,0,0.982,,,,,,,,,,,,,18.2291,0.0145,18.2648,0.0327,18.241,0.0218,17.5227,0.0131,17.5581,0.0299,17.5313,0.0223,16.8704,0.0096,16.8727,0.017,16.8824,0.0151,16.4542,0.0123,16.5033,0.029,16.4625,0.0185,8.64,430155585
100.36,430155866,46,3,100046.22-544854.1,150.192535,-54.815031,36,45,58216.131,13,0.983,18.2278,0.028,18.0864,0.1513,18.2393,0.0385,17.9278,0.0266,17.9377,0.0624,17.929,0.024,15.7406,0.0071,15.7242,0.0124,15.7406,0.0103,15.1181,0.0086,15.1137,0.0169,15.1261,0.0123,14.7275,0.0079,14.7081,0.0247,14.7379,0.0109,14.5605,0.0107,14.5815,0.0108,14.5655,0.014,6.57,2618878141
101.06,430163487,7,0,100031.64-544624.6,150.13176,-54.773509,36,36,58302.773,0,0.725,,,,,,,,,,,,,,,,,,,19.6482,0.045,19.9495,0.1233,19.746,0.0935,18.9421,0.0424,19.468,0.1041,19.1277,0.0674,18.4602,0.0281,18.9896,0.1098,18.6398,0.1082,6.04,430163486
101.07,430156006,10,3,100029.42-544731.6,150.122539,-54.792105,56,58,57559.1215,0,0.968,,,,,,,,,,,,,,,,,,,,,,,,,17.9365,0.0274,17.7316,0.065,17.8877,0.0358,17.5089,0.0446,17.4572,0.046,17.4868,0.0385,5.26,430156005
101.61,430163762,2,1536,100029.38-544713.3,150.122427,-54.787023,36,53,58722.0822,0,0.929,,,,,,,,,,,,,19.7656,0.0218,20.0594,0.1353,19.7563,0.0614,,,,,,,18.3312,0.0372,18.3474,0.0705,18.3237,0.0639,17.9722,,18.1419,,17.9858,,5.84,430156001
101.78,430155495,28,3,100052.83-544723.1,150.220131,-54.789724,44,73,57838.3292,0,0.901,,,,,,,,,,,,,18.0553,0.0206,18.2861,0.125,18.1565,0.0859,17.385,0.0266,17.2167,0.0665,17.3529,0.0255,16.8286,0.027,16.5639,0.0546,16.8081,0.0147,16.4343,0.0392,16.2081,0.0382,16.4242,0.0191,5.78,430155497
102.04,430155798,1,1,100049.71-544834.0,150.207038,-54.809387,36,36,57743.6956,0,0.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4692,0.0331,18.5637,0.1923,18.5011,0.1236,5.95,430155791
102.04,430155868,35,3,100045.42-544859.1,150.189209,-54.816394,36,56,58289.548,2,0.982,,,,,,,18.3834,0.0296,18.4738,0.1539,18.4017,0.0405,17.0503,0.0131,16.9729,0.0498,17.063,0.0235,16.5357,0.0116,16.523,0.0188,16.5394,0.0166,16.167,0.0102,16.1366,0.0224,16.1532,0.013,15.9813,0.0177,15.9468,0.0339,15.9544,0.0175,5.94,430155872
102.26,430155597,5,1,100051.84-544642.3,150.215953,-54.778297,36,89,56994.3554,0,0.855,,,,,,,,,,,,,,,,,,,,,,,,,17.4961,0.0706,17.4127,0.0961,17.5117,0.0553,17.0724,0.069,16.9659,0.0922,17.0595,0.0596,10.45,430155535
102.34,430156070,6,0,100029.98-544800.3,150.124925,-54.800018,36,52,58251.1568,1,0.605,,,,,,,,,,,,,,,,,,,19.7542,0.0516,20.0084,0.2004,19.7389,0.0929,19.0111,0.0177,19.0967,0.0756,19.0431,0.0606,18.6014,0.0833,18.7547,0.1328,18.5901,0.0903,9.58,430156069
102.43,430156045,36,3,100034.91-544851.7,150.145395,-54.814331,36,36,57971.2052,0,0.981,,,,,,,,,,,,,17.566,0.0166,17.4924,0.0265,17.5665,0.0171,17.0024,0.0156,16.9039,0.0414,17.0319,0.0185,16.5606,0.0124,16.4979,0.0186,16.5643,0.0133,16.2554,0.0145,16.2286,0.0239,16.2585,0.0166,6.11,430156043
102.45,430156041,20,3,100036.77-544859.4,150.153359,-54.816598,36,36,57842.7456,0,0.917,,,,,,,,,,,,,18.7103,0.1326,18.6139,0.0762,18.7544,0.0445,18.0582,0.0826,18.0558,0.1187,18.0734,0.0605,17.5927,0.0332,17.1021,0.0649,17.4237,0.0275,17.1499,0.0891,16.8807,0.1192,17.1054,0.0482,9.18,430156037
102.75,430155581,4,3,100045.74-544549.7,150.190571,-54.763802,50,68,57627.2971,0,0.929,,,,,,,,,,,,,,,,,,,,,,,,,17.4973,0.1858,17.2953,0.1171,17.5214,0.0966,17.031,0.0344,16.9866,0.048,16.9718,0.0495,5.7,430155582
102.98,430155777,4,1,100051.73-544810.0,150.21554,-54.802766,118,36,56979.0817,0,0.759,,,,,,,,,,,,,,,,,,,18.2494,0.1199,18.0404,0.194,18.1587,0.1369,18.0082,0.0346,18.17,0.1276,18.0709,0.1007,17.5914,0.0575,17.7133,0.1675,17.5291,0.1049,5.5,430155769
103.42,2618878340,0,19,100039.17-544906.2,150.163248,-54.818408,545,508,57053.6259,0,0.598,,,,,,,,,,,,,,,,,,,,,,,,,18.2016,,18.1875,,18.2647,,16.6457,,16.7876,,17.1717,,4.61,2618878342
