r_cntr,object_id,ngood,flags,smss_j,raj2000,dej2000,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_psf,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_psf,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_psf,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_psf,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
211.84,430163795,28,0,100019.76-544540.2,150.082225,-54.761147,59,75,58098.0683,1,0.974,,,,,,,,,,,,,17.7328,0.0221,17.7433,0.0252,17.7545,0.0238,17.1467,0.0209,17.1114,0.0311,17.1464,0.0236,16.6735,0.0192,16.5862,0.0177,16.6619,0.0145,16.4305,0.0189,16.3395,0.0238,16.4061,0.0182,9.16,430163539
211.92,430155817,16,3,100057.45-545001.9,150.239334,-54.83385,36,37,57717.1065,0,0.978,,,,,,,,,,,,,,,,,,,18.1564,0.049,18.2781,0.1506,18.1523,0.1352,17.5736,0.0174,17.5258,0.0386,17.5705,0.0206,17.2345,0.0171,17.2343,0.0451,17.2273,0.0234,5.87,430155821
212.17,430163447,26,3,100025.42-544440.9,150.105882,-54.744675,36,48,58213.533,0,0.982,,,,,,,,,,,,,18.204,0.0181,18.257,0.0732,18.2136,0.0224,17.5315,0.0157,17.5988,0.0386,17.542,0.023,16.939,0.012,17.0415,0.0137,16.9572,0.0157,16.6723,0.0136,16.8287,0.0282,16.7148,0.0202,7.26,430163444
212.24,430155365,9,0,100104.32-544616.4,150.267977,-54.771216,36,42,58318.8442,0,0.847,,,,,,,,,,,,,,,,,,,,,,,,,18.7952,0.0176,19.05,0.0681,18.8732,0.0409,18.308,0.0344,18.6728,0.0969,18.3477,0.0592,9.1,430155362
212.34,430155356,4,0,100105.63-544727.8,150.273385,-54.791015,57,36,58559.6954,0,0.506,,,,,,,,,,,,,,,,,,,,,,,,,19.3188,0.0266,19.7437,0.1264,19.4709,0.0859,18.7858,0.0482,19.1907,0.2523,18.798,0.1503,10.57,430155357
212.42,430157144,4,0,100024.16-544958.3,150.100543,-54.832802,41,36,58287.6951,0,0.749,,,,,,,,,,,,,,,,,,,,,,,,,18.8126,0.0385,18.9079,0.1306,18.7807,0.0877,18.412,0.0656,18.6572,0.0924,18.4844,0.069,3.31,430157146
212.42,430159518,21,3,100039.46-544352.5,150.164349,-54.731163,48,176,58153.3837,1,0.977,,,,,,,,,,,,,,,,,,,17.7648,0.028,17.5428,0.065,17.7359,0.0252,16.6383,0.0185,16.5194,0.0236,16.6437,0.0155,15.9673,0.015,15.9347,0.0362,15.9732,0.0178,6.92,430159501
212.47,430163882,25,1,100016.58-544743.2,150.069141,-54.795321,36,36,58024.8981,0,0.906,,,,,,,,,,,,,18.4086,0.0571,18.2512,0.0394,18.4118,0.0309,17.6378,0.0375,17.4517,0.0355,17.6142,0.0303,17.0218,0.0202,16.8738,0.0223,16.9448,0.016,16.5628,0.0266,16.5199,0.0301,16.5154,0.0181,10.43,430163915
212.56,430157089,20,3,100033.55-545046.6,150.139686,-54.846241,36,42,58038.1735,4,0.982,,,,,,,,,,,,,19.1486,0.0226,19.2125,0.0564,19.1668,0.034,17.8753,0.0265,18.0463,0.0358,17.9051,0.0326,16.7792,0.0104,16.8217,0.0176,16.775,0.0155,16.0817,0.0146,16.116,0.0173,16.0712,0.0193,6.45,430157090
212.69,430163891,6,3,100016.76-544652.5,150.069781,-54.78125,100,181,57991.3501,0,0.321,,,,,,,,,,,,,,,,,,,,,,,,,17.0031,0.2993,17.1875,0.0682,17.8074,0.0355,16.7282,0.2273,16.8685,0.1746,17.4362,0.0723,5.32,430163890
212.74,2618879540,1,3,100028.31-545026.1,150.117961,-54.840584,36,36,59329.4051,0,0.574,16.2957,0.5166,17.1239,0.0829,17.7688,0.1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.89,430157110
212.77,430152018,4,0,100056.32-544437.2,150.234572,-54.743647,36,135,56904.5379,0,0.896,,,,,,,,,,,,,,,,,,,,,,,,,18.1546,0.0705,18.1292,0.1272,18.1419,0.1065,17.2731,0.1207,17.3464,0.0822,17.3956,0.0711,12.54,430152019
212.81,430155732,5,1,100101.46-544923.6,150.256007,-54.823204,36,36,58396.4949,0,0.763,,,,,,,,,,,,,,,,,,,,,,,,,18.9513,0.0248,19.0398,0.1068,18.9769,0.0567,18.5876,0.0315,18.8756,0.1318,18.6956,0.097,4.41,430155731
212.84,430163533,12,0,100021.53-544515.0,150.089665,-54.754141,36,52,58117.8768,0,0.92,,,,,,,,,,,,,20.0803,0.0449,20.2465,0.1375,20.1599,0.0836,19.1947,0.0492,19.5132,0.1123,19.2533,0.0645,18.5245,0.0213,18.7858,0.0446,18.5667,0.0329,18.2451,0.0323,18.4166,0.1731,18.2397,0.106,7.87,430163534
212.94,430163516,30,2,100023.75-544452.9,150.098927,-54.748024,36,58,58145.2442,0,0.982,,,,,,,,,,,,,18.0405,0.0199,18.1085,0.0265,18.0468,0.0201,17.4473,0.0159,17.4792,0.0498,17.4794,0.0222,16.9727,0.0102,17.0878,0.0139,16.9949,0.0158,16.7709,0.0137,16.9501,0.0223,16.8132,0.0209,6.18,430163513
212.94,430163513,11,1027,100024.27-544448.7,150.101071,-54.746834,36,36,58149.5309,0,0.943,,,,,,,,,,,,,19.4543,0.0217,19.8,0.1261,19.4652,0.0412,18.813,,19.0798,,18.8577,,18.2238,0.0239,18.4171,0.0691,18.2701,0.0353,17.8476,0.0269,18.0902,0.0505,17.9454,0.0414,5.07,430163515
212.97,430155363,7,0,100103.92-544604.7,150.266248,-54.76794,36,54,58458.202,0,0.774,,,,,,,,,,,,,,,,,,,19.7735,0.0288,20.1189,0.2071,19.7763,0.0962,18.9011,0.018,19.0817,0.0806,18.8812,0.0459,18.4666,0.0356,18.5312,0.3048,18.4088,0.0874,9.18,430155362
213.05,430152022,6,3,100100.37-544511.8,150.251497,-54.753274,36,39,57546.9242,0,0.972,,,,,,,,,,,,,,,,,,,,,,,,,17.7988,0.0461,17.517,0.0737,17.6901,0.033,17.4257,0.1058,17.4711,0.154,17.531,0.0834,6.07,430152011
213.09,430163538,1,0,100020.71-544524.5,150.086234,-54.756764,36,36,57743.6942,0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,19.4228,0.0285,19.6736,0.2308,19.5428,0.1581,,,,,,,7.46,430163534
213.17,430156841,18,3,100046.23-545052.7,150.192562,-54.847949,36,48,58037.5919,0,0.977,,,,,,,,,,,,,19.3399,0.1007,18.7781,0.0867,19.3165,0.0644,18.3476,0.0735,17.9347,0.0412,18.3874,0.0409,17.4302,0.0256,17.088,0.1454,17.4508,0.0202,16.8999,0.0283,16.5128,0.157,16.8964,0.0212,4.28,430156840
213.28,430155731,5,1,100101.83-544920.5,150.257365,-54.82226,343,81,58570.2498,0,0.557,,,,,,,,,,,,,19.8564,0.2517,19.512,0.1199,20.0758,0.0789,,,,,,,17.9787,0.2826,17.4069,0.0576,18.4845,0.05,17.5571,0.2847,16.8522,0.0976,18.0274,0.0578,4.41,430155732
213.34,430164879,12,0,100017.18-544817.5,150.071527,-54.804773,70,92,58021.0796,0,0.96,,,,,,,,,,,,,19.3794,0.0348,19.5811,0.0821,19.3935,0.0479,19.0114,0.0463,21.0435,0.9494,19.0119,0.0799,18.2367,0.0179,18.383,0.0455,18.2484,0.0344,17.802,0.0183,18.031,0.0548,17.8713,0.0394,6.34,430164878
