,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
121,69.19,494751707,2,1024,053831.07-690636.9,84.629524,-69.110258,36,36,58944.1168,0,0.909,,,,,,,,,,,,,17.3112,0.0343,17.3067,0.1393,17.332,0.0347,17.474,,17.5736,,17.448,,17.5631,,17.7446,,17.5725,,,,,,,,6.4,1605797386.0
122,69.43,494751720,3,515,053829.16-690608.1,84.622731,-69.102359,286,36,58149.3431,0,0.339,,,,,,,16.1187,,,,16.7212,,,,,,,,,,,,,,15.3153,0.2761,14.8237,0.3205,16.3433,0.2258,15.2579,0.3424,15.7043,0.1078,16.0156,0.0687,3.55,2709403858.0
123,69.69,494747566,2,2,053854.92-690622.4,84.728855,-69.10623,104,36,57681.7419,0,0.554,,,,,,,,,,,,,,,,,,,,,,,,,16.9287,0.4086,16.5475,0.0353,17.4803,0.0647,16.1437,0.4617,15.9833,0.0394,16.9897,0.0625,14.18,494747560.0
124,69.85,494751708,0,1539,053830.04-690626.2,84.62522,-69.107257,50,43,57387.9676,0,0.982,,,,,,,,,,,,,16.6616,,17.0283,,16.7683,,,,,,,,15.05,,15.4162,,15.0516,,14.7742,,15.0269,,14.8176,,3.33,494751709.0
125,70.05,2709403532,2,27,053845.25-690711.7,84.688566,-69.119922,697,287,59141.6029,60,0.029,,,,,,,,,,,,,12.9985,0.5474,12.276,0.0311,15.4236,0.041,12.8042,,11.0298,,15.3993,,14.4706,,13.2519,,16.839,,13.2359,0.4116,11.2383,0.0388,15.2051,0.0507,2.69,494751524.0
126,70.11,2709403858,0,19,053829.29-690605.0,84.622071,-69.101401,322,123,57345.6117,0,0.005,,,,,,,,,,,,,,,,,,,14.2116,,14.4728,,16.4081,,,,,,,,13.7894,,12.2197,,16.0521,,3.55,494751720.0
127,70.44,2709403914,0,19,053831.94-690520.5,84.633107,-69.089039,36,36,57009.4804,0,0.028,,,,,,,,,,,,,13.025,,14.4418,,16.2443,,,,,,,,,,,,,,,,,,,,4.23,2709403912.0
128,70.55,494751709,3,3,053829.83-690623.7,84.623933,-69.106453,55,566,57579.9053,0,0.06,,,,,,,,,,,,,,,,,,,14.2544,0.4525,14.9611,0.0387,15.9702,0.0485,13.9793,0.3519,14.4814,0.0392,15.791,0.1039,,,,,,,2.98,494751717.0
129,70.85,494751717,6,3,053829.54-690620.5,84.6231,-69.105679,36,67,57293.5413,0,0.935,15.736,0.037,15.6522,0.1595,15.7564,0.037,15.6934,0.0449,15.7834,0.0498,15.7176,0.0401,,,,,,,,,,,,,15.5114,0.0563,15.3925,0.0439,15.5074,0.0448,15.6662,0.0839,16.0402,0.0796,15.7726,0.0612,2.98,494751709.0
130,70.94,494751721,5,3,053829.23-690558.4,84.621532,-69.099636,96,36,57827.8503,0,0.334,,,,,,,,,,,,,,,,,,,,,,,,,15.7184,0.1457,15.1107,0.1913,15.7246,0.0529,15.6686,0.1572,15.9633,0.1009,15.7722,0.0611,2.85,2709403859.0
131,71.13,2709403774,1,3,053849.93-690504.7,84.708062,-69.084662,36,36,59187.5183,0,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5161,0.4558,9.646,0.039,14.1086,0.0477,5.73,2709403773.0
132,71.23,2709403916,0,19,053832.67-690514.7,84.63615,-69.087418,36,36,57681.7412,0,0.029,,,,,,,,,,,,,,,,,,,,,,,,,12.5454,,11.9492,,15.0507,,,,,,,,3.45,2709403915.0
133,71.29,2709397161,3,1,053854.94-690539.4,84.72894,-69.094294,36,36,57734.1767,0,0.189,15.4588,0.3898,15.2967,0.0481,16.2988,0.0536,15.3178,0.2386,15.1518,0.0675,15.99,0.045,,,,,,,,,,,,,,,,,,,,,,,,,5.92,2709397192.0
134,71.33,494751697,1,3,053843.01-690454.0,84.679491,-69.081145,204,642,59187.5179,7,0.049,,,,,,,,,,,,,12.1425,,10.1471,,14.5027,,,,,,,,12.6749,0.5565,10.3397,0.0399,15.9134,0.054,,,,,,,4.41,2709403804.0
135,71.4,494751702,6,1025,053836.85-690458.4,84.653583,-69.082888,36,36,57370.8423,0,0.982,14.5853,0.0622,14.6865,0.038,14.5734,0.0448,14.624,0.0393,14.7315,0.0323,14.6207,0.0365,14.3932,0.2435,14.6787,0.0226,14.6535,0.033,14.8238,0.0792,14.9043,0.0265,14.8587,0.0334,15.0645,0.036,15.1642,0.0289,15.0803,0.0357,15.2652,,15.4157,,15.2987,,10.11,494751700.0
136,71.62,2709403859,0,19,053829.01-690601.4,84.620904,-69.100394,36,36,57009.4792,0,0.002,14.7401,,12.9219,,16.1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,494751721.0
137,71.72,494751545,4,19,053834.10-690700.1,84.642493,-69.116698,894,657,58097.0192,38,0.029,14.5861,,10.438,,16.2193,,,,,,,,12.8726,0.542,12.4648,0.033,15.2929,0.0405,12.7498,0.3371,10.793,0.1777,15.0265,0.033,13.1564,,9.861,,17.2587,,13.0148,0.4365,10.0868,0.041,15.0404,0.0494,6.36,2709403754.0
138,71.85,2709403784,0,27,053844.72-690452.5,84.686342,-69.081277,70,36,57009.4811,191,0.029,,,,,,,,,,,,,,,,,,,12.9951,,13.016,,13.8593,,13.341,,13.5464,,14.1303,,12.8952,,13.4304,,14.1244,,1.64,2709403785.0
139,72.23,2709403865,0,19,053829.87-690536.4,84.624476,-69.093447,46,402,57093.5134,0,0.028,,,,,,,14.2724,,14.0504,,15.7236,,,,,,,,13.2991,,13.7476,,15.115,,14.1871,,14.6507,,15.8751,,12.6713,,12.6322,,14.6771,,8.75,494751724.0
140,72.48,2709397195,0,531,053854.49-690530.8,84.727076,-69.091898,36,36,57009.4811,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,13.718,,,,15.8995,,,,,,,,1.51,2709397194.0
141,73.41,2709403531,0,19,053844.52-690715.8,84.685537,-69.121078,733,625,57822.3148,71,0.03,,,,,,,,,,,,,,,,,,,13.4956,,9.2221,,15.3412,,14.6243,,13.6601,,16.112,,12.7571,,10.4586,,15.2988,,5.17,2709403530.0
142,73.49,2709403785,0,27,053844.80-690451.0,84.686683,-69.080837,234,54,57009.4796,137,0.797,13.6153,,13.6494,,13.9522,,13.3474,,13.1593,,13.7982,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,2709403784.0
143,73.79,2709397194,0,19,053854.77-690530.9,84.728247,-69.091924,36,36,57009.4814,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4589,,13.4362,,14.9333,,1.51,2709397195.0
144,73.84,494747571,20,3,053856.08-690554.1,84.733692,-69.09836,36,36,57678.4766,0,0.981,15.7923,0.0323,15.5599,0.1034,15.8482,0.0258,15.7629,0.0292,15.7907,0.0444,15.7656,0.0341,15.4413,0.1915,15.4865,0.0259,15.595,0.0351,15.8581,0.1168,15.9217,0.2829,15.8125,0.1301,15.8891,0.0269,16.1126,0.0234,15.9244,0.0232,15.8445,0.0766,15.8802,0.143,15.8922,0.0517,5.25,494747572.0
145,74.26,494751515,8,1,053850.02-690705.4,84.708653,-69.118116,57,119,57552.7556,0,0.771,16.0377,0.1307,15.5841,0.0395,16.4107,0.0306,16.0715,0.1113,15.5375,0.1078,16.3362,0.037,,,,,,,,,,,,,,,,,,,,,,,,,1.44,2709403521.0
146,74.37,2709403521,2,3,053850.31-690704.5,84.709629,-69.117917,36,204,58097.513,0,0.008,,,,,,,,,,,,,,,,,,,,,,,,,15.2206,0.3299,13.9969,0.5143,16.4091,0.0778,,,,,,,1.44,494751515.0
147,74.72,2709403815,7,3,053842.50-690448.6,84.677107,-69.080179,214,137,58332.6046,0,0.182,12.8298,0.2796,9.7617,0.1139,15.8065,0.0397,12.5067,0.2434,9.802,0.126,15.3271,0.0601,,,,,,,,,,,,,,,11.8725,,,,,,,,,,3.63,2709403814.0
148,74.85,2709403646,0,19,053833.00-690658.8,84.637534,-69.11635,36,36,58778.6853,0,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4702,,10.9827,,14.0021,,2.47,2709403647.0
149,74.89,2709403773,0,19,053851.00-690504.3,84.712509,-69.084532,36,36,59095.6885,0,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7609,,9.2678,,13.6379,,4.74,2709403772.0
150,76.19,2709403530,3,19,053845.42-690717.8,84.689279,-69.121613,621,152,57006.5201,0,0.009,14.4846,0.4186,13.4226,0.0438,15.9331,0.059,14.3687,0.3847,13.7186,0.055,15.6745,0.068,,,,,,,13.8635,,14.693,,15.2043,,14.8674,,16.1133,,16.2398,,13.358,0.4179,12.3042,0.0422,15.0112,0.0491,2.65,494751520.0
151,76.22,2709403861,0,19,053828.19-690557.1,84.617499,-69.099197,36,36,57009.4799,0,0.001,,,,,,,14.2979,,12.7523,,16.5045,,,,,,,,,,,,,,,,,,,,,,,,,,5.42,494751721.0
152,76.61,494751520,4,3,053845.82-690717.7,84.69134,-69.121558,53,174,57552.5099,0,0.0,14.0409,0.5351,13.7812,0.0446,16.0992,0.0521,13.8295,0.5395,13.5561,0.0538,15.7553,0.0553,,,,,,,,,,,,,13.7046,0.3787,13.2177,0.1105,15.7715,0.0637,,,,,,,2.65,2709403530.0
153,76.9,2709397192,0,4096,053855.80-690535.7,84.732516,-69.093255,36,36,58778.6783,16,0.938,,,,,,,,,,,,,17.5426,,18.238,,17.5374,,,,,,,,,,,,,,,,,,,,3.51,2709397160.0
154,77.12,2709403647,0,19,053832.58-690659.8,84.635781,-69.116634,297,944,57009.4804,0,0.001,14.1184,,12.9533,,15.7536,,13.5692,,12.7241,,15.4318,,,,,,,,,,,,,,13.2126,,12.9516,,15.4894,,12.4906,,12.2521,,14.8384,,2.47,2709403646.0
155,77.54,2709403814,3,3,053842.94-690445.8,84.678935,-69.079411,222,323,59187.5177,2,0.057,,,,,,,,,,,,,11.7386,0.5058,9.6079,0.0279,14.4911,0.0387,12.1026,0.5015,9.9373,0.0349,14.8191,0.0463,,,,,,,11.777,0.5109,10.1836,0.0391,14.5365,0.0484,3.63,2709403815.0
156,78.05,2709403644,1,19,053833.15-690703.7,84.638137,-69.117708,202,64,58778.6825,24,0.029,13.5217,,9.967,,15.9061,,13.2619,0.4839,11.4339,0.0356,15.5158,0.0524,,,,,,,,,,,,,,,,,,,,,,,,,3.7,2709403645.0
157,78.09,2709403862,2,515,053827.81-690606.7,84.615901,-69.101878,144,198,57007.0145,0,0.794,,,,,,,16.4429,,,,16.4448,,,,,,,,,,,,,,16.6396,0.0287,17.2235,0.0829,16.7365,0.0435,16.6143,,17.9814,,16.8296,,8.11,2709403858.0
158,78.2,2709397160,0,27,053856.23-690538.3,84.734333,-69.093983,371,268,58778.6846,86,0.02,,,,,,,,,,,,,,,,,,,,,,,,,14.1722,,14.5136,,16.9432,,13.2743,,13.1837,,15.7685,,3.51,2709397192.0
159,78.23,494751706,2,1,053830.40-690647.0,84.626295,-69.113169,36,50,57894.026,0,0.588,,,,,,,,,,,,,15.8738,0.5374,15.9053,0.6005,16.8339,0.2401,,,,,,,,,,,,,,,,,,,7.5,494751711.0
160,78.59,494747568,34,2,053857.07-690605.7,84.737823,-69.101583,36,36,57892.2547,0,0.993,11.9694,0.0151,11.977,0.0141,11.9658,0.018,11.9885,0.0153,12.005,0.0147,11.9824,0.0191,11.922,0.0146,11.9419,0.0127,11.9199,0.019,11.9371,0.0163,11.9576,0.0147,11.9328,0.0198,11.9794,0.0143,11.9895,0.0139,11.9808,0.0178,12.0175,0.0132,12.0193,0.0127,12.0129,0.0171,12.76,494747571.0
