RA,DEC,J,H,Av,R,Weight
274.6570329,-13.76908856,15.36334001,14.03825,12.912913,28.468445,0
274.6767022,-13.76973098,14.77598014,13.497864,12.912913,27.881085,0
274.6849211,-13.77232101,15.25892365,13.931598,12.912913,28.364029,0
274.6437732,-13.74299584,14.98701236,13.699095,13.033033,28.195421,0
274.7065676,-13.75849297,15.06958613,13.707923,13.633634,28.794511,0
274.7421139,-13.84054819,15.50083633,14.048087,13.993994,29.535671,0
274.6825527,-13.75690305,15.82282256,14.382806,14.234234,30.064264,0
274.6821067,-13.76898139,14.34949842,12.937267,14.474474,28.797547,0
274.6791997,-13.78759003,15.51611001,13.852756,14.594595,30.067462,0
274.7027004,-13.83049087,14.68315414,13.078881,16.156156,30.577449,0
274.6911425,-13.75355706,17.85102832,15.625931,17.477477,34.881659,0
274.7156347,-13.75224437,15.41075427,13.651634,17.597598,32.544688,0
274.6433239,-13.76269295,16.58552207,14.754907,17.717718,33.82276,0
274.6776825,-13.74142931,16.68833184,14.794352,18.318318,34.442086,0
274.7084992,-13.75623514,18.03804781,15.771474,22.042042,38.994204,0
274.7192172,-13.74468575,18.08494913,15.686025,23.603604,40.384049,0
274.7007188,-13.74866405,16.10088951,13.592289,25.165165,39.742932,0
274.6968939,-13.73512418,18.90772265,15.33248,35.135135,51.123939,0
274.6701399,-13.83985435,20.28524186,16.605575,36.096096,53.327885,0
274.6880482,-13.78990904,12.60130742,12.606854,-6.0660661,9.3844905,1
274.6390322,-13.78234355,15.11830021,14.496573,-1.3813814,15.930312,1
274.7498088,-13.83589228,14.35778043,13.800687,-1.3813814,15.169792,1
274.7218772,-13.83022016,15.30527932,14.613483,-0.78078078,16.633808,1
274.6560434,-13.81377754,15.56447698,14.890181,-0.54054054,17.099612,1
274.7074364,-13.79616377,15.39803352,14.69253,-0.42042042,17.036472,1
274.7205378,-13.84969193,13.88357979,13.363362,-0.3003003,15.625322,1
274.6393428,-13.84282297,15.28482341,14.490338,0.06006006,17.336475,1
274.6856721,-13.79931611,15.24509759,14.444985,0.06006006,17.296749,1
274.7120015,-13.81204874,13.46962034,12.981759,0.3003003,15.727879,1
274.7274549,-13.74936315,16.03525476,15.279623,0.54054054,18.50012,1
274.7065919,-13.84700321,14.7702266,14.024329,0.66066066,17.338395,1
274.734436,-13.83668209,15.89769454,15.11014,0.66066066,18.465863,1
274.7350894,-13.80104495,15.75538712,14.920991,0.78078078,18.426859,1
274.7496596,-13.84583892,14.970969,14.187316,0.78078078,17.64244,1
274.637976,-13.75206501,16.49776775,15.735664,1.021021,19.375846,1
274.6663534,-13.82739403,14.98200678,14.173868,1.1411411,17.963388,1
