ccd_x_ra_in,ccd_y_dec_in,ccd_x_pix_in,ccd_y_pix_in,dmd_x_mir_out,dmd_y_mir_out,dmd_x_mir_in,dmd_y_mir_in,ccd_x_pix_out,ccd_y_pix_out,ccd_x_ra_out,ccd_y_dec_out,delta_dmdx_in_out,delta_dmdy_in_out,delta_ccdx_in_out,delta_ccdy_in_out
0.16344192663310136,0.21037866151546705,588.3909358791649,757.3631814556813,619.9366975093925,799.9403739815473,620.0,800.0,588.4487540116058,757.4173899858527,0.16345798722544608,0.21039371944051463,0.06330249060749793,0.0596260184527182,0.057818132440957015,0.054208530171308666
0.1685291765032942,0.2103846575141728,606.7050354118591,757.3847670510221,640.0400260047405,799.9443604323499,640.0,800.0,606.6687220326593,757.4352594005376,0.16851908945351646,0.21039868316681598,0.04002600474052542,0.05563956765013245,0.0363133791997825,0.05049234951547987
0.1735827553011585,0.21038902623332578,624.8979190841706,757.4004944399728,660.0043293001837,799.9467856318468,660.0,800.0,624.8941299043146,757.448812529608,0.1735817027511985,0.2104024479248911,0.004329300183712803,0.05321436815324887,0.0037891798559712697,0.0483180896351314
0.1786389452463324,0.21038990582090067,643.1002028867966,757.4036609552425,679.9727193603132,799.9401126721347,680.0,800.0,643.1252597345286,757.4580495910739,0.1786459054818135,0.2104050137752983,0.027280639686750874,0.05988732786534001,0.025056847732003007,0.05438863583140119
0.18369603937514056,0.21039092907056,661.3057417505061,757.407344654016,699.9380997330348,799.9387479403298,700.0,800.0,661.3623936304994,757.462970802501,0.18371177600847205,0.21040638077847248,0.061900266965153605,0.061252059670209746,0.05665187999329646,0.0556261484849756
0.18879176719606275,0.2103911493475995,679.6503619058259,757.4081376513582,720.049055233068,799.9389487515683,720.0,800.0,679.6058136988125,757.4635763814736,0.1887793926941146,0.21040654899485378,0.04905523306797477,0.061051248431681415,0.044548207013349383,0.055438730115383805
0.1938522554561102,0.2103917908771606,697.8681196419967,757.4104471577781,740.013706697677,799.9455781188964,740.0,800.0,697.8558020453008,757.4598665453625,0.19384883390147245,0.21040551848482292,0.013706697676980184,0.05442188110362167,0.012317596695879729,0.04941938758440756
0.19891282250359527,0.21038973417504553,716.086161012943,757.4030430301639,759.9712139857164,799.946241595441,760.0,800.0,716.1126407750697,757.451841511439,0.19892017799307493,0.21040328930873306,0.028786014283582517,0.053758404558948314,0.026479762126768946,0.04879848127518471
0.20397606066179255,0.2103861317154834,734.3138183824532,757.3900741757402,779.9314795286555,799.9455110167052,780.0,800.0,734.3766119923246,757.4395014966954,0.20399350333120128,0.21039986152685983,0.06852047134452732,0.05448898329484564,0.06279360987139171,0.04942732095514657
0.20907951551948745,0.21038195157648754,752.6862558701548,757.3750256753551,800.0420975508323,799.9473790624648,800.0,800.0,752.6479978004329,757.4228467180046,0.20906888827789802,0.21039523519944572,0.04209755083229538,0.052620937535152734,0.038258069721905485,0.04782104264950249
0.2141456465821847,0.21037958821651997,770.9243276958649,757.3665175794719,819.9971643608436,799.9610559444313,820.0,800.0,770.9270803018879,757.4018773921151,0.21414641119496888,0.21038941038669864,0.002835639156387515,0.038944055568663316,0.002752606023022963,0.03535981264326438
0.21921405537277583,0.21037168205899037,789.170599341993,757.3380554123653,839.952588079148,799.9574885930489,840.0,800.0,789.2141415981944,757.3765937355693,0.2192261504439429,0.21038238714876922,0.04741192085202783,0.04251140695112099,0.04354225620136276,0.038538323203965774
