,SOURCE_ID,ra_now,dec_now,phot_g_mean_mag
225,5.260177705928083e+18,150.15123380908184,-54.78822165837881,17.409336
114,5.260177534138694e+18,150.17652132026325,-54.784571487177494,17.413857
205,5.26017749976964e+18,150.16366605145228,-54.799402434817885,17.428852
493,5.260177637217918e+18,150.1867023243821,-54.774516099048775,17.440762
270,5.260177534138697e+18,150.1755873886963,-54.77868678266333,17.446507
700,5.260177568498441e+18,150.21094799448417,-54.78868377895817,17.471756
168,5.260177534129445e+18,150.18476297627632,-54.79141996276424,17.491405
642,5.260177774647563e+18,150.13514281972303,-54.77852327543344,17.493341
4,5.260177499769685e+18,150.1710680862241,-54.78950572119244,17.502293
669,5.26017704878009e+18,150.17969395824076,-54.81253301416017,17.514633
33,5.260177499769686e+18,150.16740806009756,-54.786767140751756,17.557838
662,5.260177293611147e+18,150.14213400043363,-54.80713833595881,17.571062
502,5.26017743105947e+18,150.1933679986043,-54.80243934500811,17.57166
3,5.260177495457182e+18,150.1688462131972,-54.791167380756505,17.572216
6,5.260177499769675e+18,150.16657607745628,-54.790268993832015,17.581928
859,5.260177426737215e+18,150.1983165946052,-54.81143902701504,17.595686
73,5.260177705928088e+18,150.16030081871534,-54.7912319909985,17.598993
561,5.260177117504052e+18,150.17202232202766,-54.81026502966891,17.599482
181,5.260177499769651e+18,150.17055935898114,-54.79929301442941,17.61448
701,5.260177392377554e+18,150.12758227858802,-54.78714702208923,17.622057
186,5.260177534129459e+18,150.17443342668506,-54.78104542793913,17.632755
63,5.260177499778948e+18,150.17611064615872,-54.792851294589894,17.637695
149,5.260177495461259e+18,150.17472701093615,-54.797770618995905,17.643291
336,5.260177117499596e+18,150.1689460708845,-54.80420119645072,17.643661
240,5.260177499769658e+18,150.177172593943,-54.80000778279878,17.644213
130,5.260177499778949e+18,150.18106993070884,-54.79359246344201,17.659456
276,5.260177117499689e+18,150.16476392551752,-54.80186276368477,17.67861
250,5.260177534129474e+18,150.18223878239533,-54.78173556750293,17.680895
539,5.260177740287921e+18,150.17369040630155,-54.770217227981014,17.681791
356,5.26017774028788e+18,150.1591999708911,-54.776352028723444,17.698856
304,5.260177121821817e+18,150.16448086051656,-54.80290280777103,17.702026
362,5.260177705937532e+18,150.14845114257437,-54.78101361208415,17.704487
152,5.260177534129459e+18,150.17794847299328,-54.783201384276616,17.711716
23,5.260177499778945e+18,150.1641623356952,-54.78952599161741,17.71603
444,5.260177632904944e+18,150.1851083635288,-54.775784592160484,17.727507
119,5.260177495461259e+18,150.1746204380735,-54.79656361386512,17.73897
645,5.26017711750405e+18,150.16206506959693,-54.81242052403551,17.740978
311,5.260177529820999e+18,150.17729423256452,-54.77728986551622,17.753548
900,5.260176709504972e+18,150.2119363929378,-54.8046936412622,17.755043
771,5.260177461096997e+18,150.21122807929967,-54.79835657847678,17.783577
234,5.260177529816952e+18,150.18779838552362,-54.78957014379337,17.798304
593,5.260177740297124e+18,150.15089291169883,-54.77182880325121,17.798616
153,5.260177534129454e+18,150.1831527233261,-54.78739686134159,17.80693
647,5.260177774656858e+18,150.1450068128883,-54.77189151774778,17.85482
253,5.260177327972735e+18,150.1510350958543,-54.79431699271545,17.87625
609,5.260177323658056e+18,150.13748569149357,-54.801760345991816,17.88699
652,5.260177117499593e+18,150.17070926955435,-54.81289124063413,17.887024
527,5.260177839054201e+18,150.17587119189656,-54.77094061714486,17.902283
576,5.260177323662479e+18,150.14256421957387,-54.803821408764556,17.9057
1041,5.26017766725553e+18,150.21380649437364,-54.762684048650215,17.914755
688,5.260177774647569e+18,150.13468005619234,-54.77680673570969,17.922083
453,5.260177121821817e+18,150.1720876286837,-54.80706128787889,17.932573
340,5.260177735979428e+18,150.17015768896425,-54.77570649070166,17.934917
78,5.260177705928088e+18,150.15983410325387,-54.79080407571488,17.980116
451,5.260177740287917e+18,150.17493940992853,-54.77322150273879,17.980604
426,5.26017774028791e+18,150.17038311621337,-54.77344782248191,17.992304
396,5.260177701619686e+18,150.14282322373424,-54.78560066534079,17.99573
305,5.260177701615243e+18,150.15543833177182,-54.77928361796652,18.004318
813,5.260177431059468e+18,150.20105858637015,-54.8090317200539,18.007532
296,5.260177461097013e+18,150.19018141392732,-54.794507122097535,18.028593
93,5.260177534138693e+18,150.17719964780403,-54.78639217243348,18.033192
163,5.260177534138695e+18,150.18348188755246,-54.78653598507056,18.033855
327,5.260177534131881e+18,150.19091779033243,-54.78384781537887,18.035501
109,5.260177529816922e+18,150.17795755881318,-54.78566014111674,18.048346
560,5.260177774656854e+18,150.1438023727593,-54.77598167375397,18.080038
259,5.260177534129447e+18,150.1883946789482,-54.792809948358176,18.084318
1042,5.260177186219027e+18,150.12225412271442,-54.817209574003186,18.094572
62,5.260177701619688e+18,150.1668164921642,-54.78533470432744,18.094664
417,5.260177327970913e+18,150.14187062041017,-54.79476859231973,18.096743
315,5.260177534141734e+18,150.19216079484613,-54.786782487211994,18.103418
488,5.260177705928122e+18,150.14918893735035,-54.775716120186985,18.105013
882,5.260177087462069e+18,150.1530154929259,-54.816392660311244,18.105082
542,5.260177632895748e+18,150.1942130450716,-54.776132733086065,18.106998
801,5.260177465409958e+18,150.20702918123578,-54.8046971795967,18.12028
526,5.260177461097026e+18,150.20252041011022,-54.78753307840744,18.13855
764,5.260177289298275e+18,150.13791792926978,-54.808033801771835,18.146757
531,5.260177705937379e+18,150.14651928817207,-54.775329929429596,18.153725
247,5.260177705928122e+18,150.15848929437843,-54.78070730730836,18.159803
1021,5.260177190541279e+18,150.1276773767411,-54.81446120392422,18.159842
919,5.26017756417628e+18,150.2159692561875,-54.77829157874751,18.16716
438,5.26017742673725e+18,150.19091777456833,-54.801158020425476,18.167255
