,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,rank,slit_width,slit_length,good,ymax,ymin
57,110,150.1448796255,0.0751,-54.81270683408,0.0698,5260177293620499328,0.3688,0.089,-4.667,0.153,3.886,0.131,0,2160.1,2.1408,17.3522,0.0011,1017.2,11.665,17.8328,0.0124,1867.8,21.764,16.5836,0.0127,1.2492,,,,,,,,IN,FILLER,3,9,1,-54.812481834079996,-54.81293183408
70,131,150.1263762226,0.175,-54.81217728633,0.1634,5260177293611111936,0.4237,0.2072,-4.351,0.352,2.884,0.307,0,639.71,1.1893,18.6734,0.002,264.05,6.3398,19.2972,0.0261,644.13,9.483,17.7395,0.016,1.5577,,,,,,,,IN,FILLER,3,9,1,-54.81195228633,-54.81240228633
76,141,150.17445236499,0.1173,-54.7810523062,0.1061,5260177534129458944,0.1265,0.1353,-3.59,0.274,2.677,0.214,0,1644.5,2.075,17.6483,0.0014,937.5,9.5176,17.9215,0.011,1817.5,15.55,16.6132,0.0093,1.3082,,,,,,,,IN,FILLER,3,9,1,-54.7808273062,-54.7812773062
79,144,150.20083209152,0.177,-54.79912306515,0.1707,5260177461096992896,-0.6371,0.2152,-5.076,0.349,2.938,0.297,0,617.43,1.0373,18.7119,0.0018,237.75,7.8513,19.4111,0.0359,659.88,7.3513,17.7133,0.0121,1.6978,,,,,,,,IN,FILLER,3,9,1,-54.79889806515,-54.79934806515
83,148,150.17539802291,0.1613,-54.7862253437,0.1631,5260177529820997888,0.3128,0.1988,-2.148,0.335,4.039,0.31,0,754.07,1.4361,18.4948,0.0021,351.12,9.4136,18.9877,0.0291,884.8,13.151,17.3948,0.0161,1.5929,,,,,,,,IN,FILLER,3,9,1,-54.7860003437,-54.786450343700004
92,157,150.20858845646,0.2093,-54.79773659651,0.1859,5260177461096997376,0.4741,0.2427,-6.546,0.398,2.421,0.329,0,511.16,1.1214,18.917,0.0024,206.06,6.6576,19.5664,0.0351,516.7,8.0534,17.9788,0.0169,1.5876,,,,,,,,IN,FILLER,3,9,1,-54.79751159651,-54.79796159651
95,160,150.19810121344,0.0866,-54.79016651033,0.0734,5260177461097020288,0.2545,0.0944,-5.429,0.18,3.07,0.145,0,2195.1,2.1118,17.3347,0.001,915.79,9.8938,17.9469,0.0117,2286.0,33.378,16.3642,0.0159,1.5827,,,,,,,,IN,FILLER,3,9,1,-54.78994151033,-54.790391510330004
106,171,150.17460192009,0.2044,-54.80447557633,0.197,5260177499769643520,-0.178,0.2531,-3.504,0.406,4.277,0.348,0,825.42,1.6351,18.3967,0.0022,350.39,7.8177,18.99,0.0242,824.98,8.1043,17.4708,0.0107,1.5192,,,,,,,,IN,FILLER,3,9,1,-54.80425057633,-54.80470057633
120,185,150.1710864252,0.1013,-54.78951240645,0.1069,5260177499769684992,0.9771,0.1215,-3.583,0.213,2.134,0.225,0,1866.8,2.3521,17.5106,0.0014,955.98,14.856,17.9003,0.0169,1862.4,19.95,16.5867,0.0116,1.3135,,,,,,,,IN,FILLER,3,9,1,-54.78928740645,-54.78973740645
122,187,150.17128476804,0.1578,-54.79187200093,0.1411,5260177499769672576,0.4203,0.1761,-2.804,0.34,2.991,0.313,0,758.44,1.4524,18.4886,0.0021,260.97,10.317,19.3099,0.0429,1027.9,11.425,17.232,0.0121,2.0779,,,,,,,,IN,FILLER,3,9,1,-54.79164700093,-54.79209700093
123,188,150.17738563698,0.087,-54.79698734382,0.0794,5260177499769670144,0.428,0.1001,-0.621,0.179,4.051,0.17,0,2047.4,1.9753,17.4104,0.001,932.56,7.4805,17.9272,0.0087,1809.3,13.647,16.6181,0.0082,1.3091,,,,,,,,IN,FILLER,3,9,1,-54.79676234382,-54.79721234382
129,195,150.18696212033,0.16,-54.79626322618,0.1518,5260177495457212288,0.1174,0.1895,-10.054,0.33,3.496,0.29,0,635.55,1.2303,18.6805,0.0021,248.53,7.6491,19.363,0.0334,657.83,6.801,17.7166,0.0112,1.6463,,,,,,,,IN,FILLER,3,9,1,-54.79603822618,-54.79648822618
135,202,150.17612992067,0.093,-54.79285806028,0.0959,5260177499778947840,0.0587,0.115,-4.694,0.194,2.735,0.176,0,1650.6,2.1327,17.6443,0.0014,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.79263306028,-54.79308306028
149,217,150.16742507954,0.0929,-54.78677442204,0.086,5260177499769686528,0.0164,0.1064,-3.73,0.186,3.068,0.165,0,1786.0,2.5656,17.5587,0.0016,965.2,17.091,17.8898,0.0192,1961.3,34.449,16.5306,0.0191,1.3593,,,,,,,,IN,FILLER,3,9,1,-54.78654942204,-54.78699942204
154,222,150.17616334136,0.1449,-54.78351494676,0.1447,5260177534138693760,-0.6717,0.1741,-3.457,0.316,3.335,0.286,0,2613.2,3.1697,17.1454,0.0013,672.54,6.4814,18.2821,0.0105,3256.6,9.103,15.98,0.003,2.3021,,,,,,,,IN,FILLER,3,9,1,-54.78328994676,-54.78373994676
162,230,150.1748398726,0.1336,-54.79373400163,0.1379,5260177499769676544,0.2256,0.1621,-4.136,0.289,2.763,0.26,0,941.03,1.7928,18.2544,0.0021,552.98,20.499,18.4946,0.0402,1259.1,70.74,17.0118,0.061,1.4828,,,,,,,,IN,FILLER,3,9,1,-54.79350900163,-54.79395900163
179,250,150.17780245471,0.6294,-54.78549560634,0.5098,5260177534129452032,0.1767,0.3871,-4.419,1.42,2.151,1.061,0,506.81,1.7911,18.9262,0.0038,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.78527060634,-54.78572060634
188,259,150.18086703225,0.1226,-54.78234728072,0.1192,5260177534129468800,-0.3217,0.146,-4.239,0.26,3.033,0.23,0,1000.9,1.3073,18.1874,0.0014,477.55,5.0363,18.6539,0.0115,954.32,25.09,17.3127,0.0285,1.3412,,,,,,,,IN,FILLER,3,9,1,-54.78212228072,-54.782572280720004
193,264,150.18224588357,0.0907,-54.7817334146,0.0853,5260177534129473408,0.471,0.1068,-1.908,0.189,-0.808,0.164,0,1568.2,1.645,17.6998,0.0011,661.47,20.696,18.3001,0.034,1650.3,24.289,16.718,0.016,1.5821,,,,,,,,IN,FILLER,3,9,1,-54.7815084146,-54.7819584146
195,267,150.17563181182,0.2049,-54.7786953038,0.1514,5260177534138697088,1.0358,0.165,-10.42,0.491,3.48,0.289,0,2051.8,4.7424,17.408,0.0025,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.7784703038,-54.7789203038
204,279,150.20038452695,0.174,-54.77660996738,0.1657,5260177632895746688,0.2962,0.2029,-1.61,0.355,2.132,0.311,0,542.56,1.1191,18.8522,0.0022,210.31,6.5305,19.5442,0.0337,529.21,7.8755,17.9529,0.0162,1.5914,,,,,,,,IN,FILLER,3,9,1,-54.77638496738,-54.77683496738
205,280,150.19821621168,0.0657,-54.77201503367,0.0589,5260177637208730624,0.3106,0.0639,-9.157,0.154,7.565,0.11,0,8740.9,11.023,15.8345,0.0014,3634.4,345.13,16.4503,0.1031,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.77179003367,-54.77224003367
206,281,150.19390162236,0.1772,-54.77813241635,0.1699,5260177637208712064,0.4846,0.2003,-4.936,0.351,2.799,0.312,0,578.93,1.1536,18.7818,0.0022,233.02,6.9388,19.4329,0.0323,571.7,8.7193,17.869,0.0166,1.5639,,,,,,,,IN,FILLER,3,9,1,-54.77790741635,-54.77835741635
230,325,150.18672094702,0.0825,-54.77452313229,0.0763,5260177637217918208,0.094,0.0951,-3.908,0.167,2.86,0.148,0,1963.9,1.9671,17.4556,0.0011,853.95,10.589,18.0228,0.0135,1722.6,10.535,16.6715,0.0066,1.3514,,,,,,,,IN,FILLER,3,9,1,-54.77429813229,-54.77474813229
239,337,150.1659535192,0.1541,-54.78469804168,0.1356,5260177701619688064,0.0736,0.179,-3.488,0.303,1.166,0.267,0,853.64,1.3947,18.3602,0.0018,408.43,10.519,18.8236,0.028,999.25,10.485,17.2627,0.0114,1.5609,,,,,,,,IN,FILLER,3,9,1,-54.78447304168,-54.78492304168
251,350,150.1546836313,0.2011,-54.78899401763,0.1789,5260177705928086272,0.033,0.2222,-7.174,0.439,1.661,0.356,0,638.83,1.5034,18.6749,0.0026,375.93,14.389,18.9136,0.0416,989.39,18.417,17.2735,0.0202,1.6401,,,,,,,,IN,FILLER,3,9,1,-54.78876901763,-54.78921901763
267,367,150.14920707227,0.1145,-54.77572226833,0.1133,5260177705928122496,0.304,0.1382,-4.298,0.246,2.448,0.247,0,1060.4,1.4783,18.1247,0.0015,504.03,7.1251,18.5952,0.0153,947.38,7.6058,17.3206,0.0087,1.2746,,,,,,,,IN,FILLER,3,9,1,-54.77549726833,-54.77594726833
292,392,150.14674727045,9.0385,-54.77523138698,10.8469,5260177705928117120,,,,,,,0,656.44,2.2883,18.6454,0.0038,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.77500638698,-54.775456386980004
306,407,150.15546575874,0.1092,-54.77929611548,0.1054,5260177701615243264,0.0018,0.1277,-6.366,0.224,5.055,0.193,0,1154.3,1.6096,18.0325,0.0015,436.93,9.3032,18.7504,0.0231,1128.5,9.3365,17.1307,0.009,1.6197,,,,,,,,IN,FILLER,3,9,1,-54.77907111548,-54.77952111548
331,434,150.16348683841,0.1649,-54.77278617982,0.1632,5260177740287899520,0.4092,0.201,-2.594,0.356,2.083,0.322,0,697.8,1.2681,18.579,0.002,193.46,5.5514,19.6349,0.0312,860.4,8.9943,17.4252,0.0113,2.2097,,,,,,,,IN,FILLER,3,9,1,-54.77256117982,-54.77301117982
334,437,150.1704056659,0.1087,-54.77345881037,0.103,5260177740287909376,0.4462,0.125,-5.066,0.221,4.284,0.198,0,1174.4,1.3305,18.0139,0.0012,455.81,10.189,18.7044,0.0243,1240.3,11.109,17.0281,0.0097,1.6763,,,,,,,,IN,FILLER,3,9,1,-54.77323381037,-54.77368381037
337,440,150.12641246138,0.1055,-54.77026151972,0.1075,5260177770334725248,-0.1147,0.1305,-4.679,0.217,3.345,0.197,0,1279.7,1.4147,17.9206,0.0012,520.15,8.51,18.5611,0.0178,1169.4,8.5291,17.092,0.0079,1.4691,,,,,,,,IN,FILLER,3,9,1,-54.77003651972,-54.77048651972
340,443,150.15355177671,0.2148,-54.76953327498,0.2455,5260177740297125120,0.2884,0.2634,-4.039,0.545,2.945,0.481,0,696.08,4.3373,18.5817,0.0068,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.76930827498,-54.76975827498
346,457,150.17589018299,0.1024,-54.77095102131,0.0956,5260177839054201088,0.5204,0.1165,-4.269,0.208,4.252,0.181,0,1269.3,1.5219,17.9295,0.0013,431.29,9.489,18.7645,0.0239,1315.4,13.322,16.9643,0.011,1.8002,,,,,,,,IN,FILLER,3,9,1,-54.77072602131,-54.77117602131
