,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,rank,slit_width,slit_length,good,ymax,ymin
276,376,150.13289884078,0.1027,-54.77621750263,0.1051,5260177770334705152,0.7746,0.1255,-8.826,0.227,4.519,0.202,0,12578.0,31.666,15.4393,0.0027,7132.1,18.187,15.7183,0.0028,10068.0,25.604,14.7545,0.0028,0.9638,,,5349.45,0.5183,0.2513,,,IN,TARGET,3,9,1,-54.77599250263,-54.77644250263
222,307,150.19326896205,0.038,-54.76857733635,0.0334,5260177637217923584,0.7013,0.0406,-7.242,0.079,4.342,0.063,0,7925.3,5.1747,15.9408,0.0007,3960.4,11.115,16.357,0.003,5741.6,19.218,15.3643,0.0036,0.9927,,,5352.0,0.2287,0.109,0.95,0.662,IN,TARGET,3,9,1,-54.76835233635,-54.76880233635
223,308,150.18954964164,0.0201,-54.76528770176,0.0189,5260177637217924480,1.0395,0.0226,-11.581,0.04,9.0,0.035,1,28426.0,6.91,14.5541,0.0003,14501.0,18.111,14.9479,0.0014,20215.0,25.114,13.9977,0.0013,0.9501,,,5408.0,0.328,0.159,1.18,1.073,IN,TARGET,3,9,1,-54.76506270176,-54.76551270176
216,300,150.18372448554,0.0243,-54.7752587695,0.0246,5260177637217917312,0.4316,0.0285,-7.144,0.054,5.301,0.049,0,19953.0,6.3768,14.9383,0.0003,10864.0,17.444,15.2614,0.0017,13406.0,16.349,14.4436,0.0013,0.8178,,,5748.5,,,2.08,4.238,IN,TARGET,3,9,1,-54.7750337695,-54.7754837695
146,213,150.17165741714,0.0193,-54.79810901267,0.0171,5260177499778943616,0.3378,0.0219,-5.701,0.04,1.766,0.035,0,80458.0,20.623,13.4244,0.0003,53214.0,81.411,13.5363,0.0017,42808.0,31.788,13.1831,0.0008,0.3532,,,8187.0,,,,,IN,TARGET,3,9,1,-54.797884012669996,-54.79833401267
0,0,150.20927750333,0.0783,-54.81138383982,0.0725,5260176670827454848,0.2056,0.0927,-4.727,0.156,3.745,0.133,0,1938.7,2.0971,17.4696,0.0012,791.07,8.7131,18.1059,0.012,1980.1,11.632,16.5202,0.0064,1.5856,,,,,,,,IN,FILLER,3,9,1,-54.81115883982,-54.81160883982
5,22,150.17973485033,0.0873,-54.81256244323,0.0781,5260177048780090624,0.6111,0.1043,-9.287,0.169,11.82,0.144,0,1836.6,1.9815,17.5283,0.0012,821.4,12.738,18.065,0.0168,1571.2,11.273,16.7714,0.0078,1.2937,,,,,,,,IN,FILLER,3,9,1,-54.81233744323,-54.81278744323
12,39,150.16477999764,0.0924,-54.8018701002,0.0844,5260177117499689472,0.0475,0.1078,-4.018,0.183,2.829,0.159,0,1587.9,1.698,17.6863,0.0012,764.53,11.386,18.1429,0.0162,1568.6,11.672,16.7732,0.0081,1.3698,,,,,,,,IN,FILLER,3,9,1,-54.8016451002,-54.8020951002
15,43,150.17211703422,0.1365,-54.80707156037,0.1334,5260177121821816320,0.5958,0.1648,-6.822,0.276,3.778,0.245,0,1268.4,3.5401,17.9302,0.003,494.83,8.5029,18.6152,0.0187,1293.3,13.513,16.9827,0.0113,1.6325,,,,,,,,IN,FILLER,3,9,1,-54.80684656037,-54.80729656037
28,66,150.16896436343,0.1036,-54.80420835178,0.0983,5260177117499596160,0.0487,0.1237,-4.065,0.216,2.914,0.211,0,1624.3,1.7641,17.6617,0.0012,730.01,6.7513,18.1931,0.01,1423.5,9.7476,16.8785,0.0074,1.3145,,,,,,,,IN,FILLER,3,9,1,-54.80398335178,-54.80443335178
29,68,150.13253687814,0.0669,-54.80351905018,0.0609,5260177293611142912,0.3242,0.0765,-7.034,0.136,5.936,0.121,0,2699.0,2.0811,17.1104,0.0008,1191.8,8.6422,17.6609,0.0079,2285.2,13.087,16.3646,0.0062,1.2963,,,,,,,,IN,FILLER,3,9,1,-54.80329405018,-54.80374405018
40,86,150.12981005216,0.2386,-54.78661962906,0.2737,5260177396690392832,0.3113,0.257,-4.189,0.473,3.015,0.571,0,482.97,1.2114,18.9786,0.0027,180.33,10.644,19.7112,0.0641,485.18,9.169,18.0472,0.0205,1.6641,,,,,,,,IN,FILLER,3,9,1,-54.78639462906,-54.78684462906
42,88,150.15109205982,0.2153,-54.80245458889,0.1951,5260177323658030080,0.893,0.2468,-8.798,0.413,5.529,0.358,0,487.99,1.3223,18.9673,0.0029,145.53,7.6265,19.944,0.0569,552.48,8.1096,17.9061,0.0159,2.0379,,,,,,,,IN,FILLER,3,9,1,-54.80222958889,-54.80267958889
65,126,150.13533806397,0.1809,-54.81190681605,0.1662,5260177293611124096,0.7571,0.2105,-5.356,0.358,4.036,0.315,0,577.6,1.0882,18.7843,0.002,219.89,23.88,19.4959,0.1179,648.15,11.868,17.7327,0.0199,1.7631,,,,,,,,IN,FILLER,3,9,1,-54.81168181605,-54.81213181605
73,138,150.13922329052,0.1443,-54.8130319219,0.133,5260177293611127552,0.1586,0.1699,-3.95,0.288,2.315,0.249,0,776.8,1.4365,18.4626,0.002,410.28,9.27,18.8187,0.0245,813.71,11.91,17.4858,0.0159,1.3329,,,,,,,,IN,FILLER,3,9,1,-54.8128069219,-54.8132569219
77,142,150.19287594975,0.1537,-54.80582239328,0.1358,5260177426737235456,0.6585,0.1792,-4.216,0.297,3.574,0.25,0,734.36,1.1334,18.5236,0.0017,269.35,10.447,19.2756,0.0421,730.76,6.8973,17.6025,0.0102,1.6731,,,,,,,,IN,FILLER,3,9,1,-54.80559739328,-54.806047393280004
88,153,150.18033612264,0.1828,-54.7777305385,0.1769,5260177534129481600,0.2713,0.2138,-4.629,0.385,3.041,0.349,0,539.05,1.2151,18.8593,0.0024,257.4,7.7809,19.3249,0.0328,541.96,11.262,17.927,0.0226,1.3979,,,,,,,,IN,FILLER,3,9,1,-54.7775055385,-54.7779555385
109,174,150.1737401489,0.1745,-54.78066656828,0.1766,5260177534129460480,0.1593,0.2084,-4.254,0.42,3.033,0.364,0,675.7,1.7725,18.614,0.0028,373.38,27.397,18.921,0.0797,709.72,4.2649,17.6342,0.0065,1.2868,,,,,,,,IN,FILLER,3,9,1,-54.78044156828,-54.78089156828
125,191,150.16842841313,0.1916,-54.78893078946,0.1768,5260177499769681024,-0.0552,0.2283,-5.651,0.38,3.129,0.334,0,558.0,2.0381,18.8218,0.004,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.788705789459996,-54.78915578946
221,305,150.21135726629,0.239,-54.76794005821,0.2312,5260177598536038144,0.4275,0.2878,-2.436,0.429,2.424,0.348,1,634.18,1.8458,18.6828,0.0032,131.73,30.685,20.0522,0.2529,890.85,23.744,17.3874,0.0289,2.6648,,,,,,,,IN,FILLER,3,9,1,-54.76771505821,-54.76816505821
224,309,150.1948036163,0.1455,-54.76707446381,0.1415,5260177637217924736,0.2142,0.1571,-4.057,0.282,3.01,0.266,0,822.37,1.2547,18.4007,0.0017,292.03,5.6483,19.1878,0.021,854.29,6.6851,17.4329,0.0085,1.7549,,,,,,,,IN,FILLER,3,9,1,-54.76684946381,-54.76729946381
241,339,150.17017513784,0.1077,-54.77571382656,0.1123,5260177735979427456,0.0254,0.1354,-4.726,0.228,2.324,0.206,0,1247.4,1.7469,17.9483,0.0015,585.11,10.606,18.4333,0.0197,1220.9,18.865,17.0452,0.0168,1.388,,,,,,,,IN,FILLER,3,9,1,-54.77548882656,-54.77593882656
272,372,150.1568413034,0.2676,-54.79488661528,0.2943,5260177705937371008,0.8427,0.3413,-5.124,0.567,2.262,0.529,0,507.18,2.4409,18.9255,0.0052,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.79466161528,-54.79511161528
291,391,150.13638547098,0.2074,-54.77049555014,0.1963,5260177774647593216,0.3457,0.2498,-4.144,0.42,2.036,0.361,0,474.68,1.1771,18.9974,0.0027,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.77027055014,-54.77072055014
324,425,150.14826390111,0.1852,-54.76576971506,0.2125,5260177809016603136,0.1246,0.2351,-6.686,0.415,3.516,0.388,0,575.82,3.3792,18.7876,0.0064,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.76554471506,-54.76599471506
