,RA,DEC,_r,recno,ID,F555W,e_F555W,F814W,e_F814W,RAJ2000,DEJ2000,MPG,d,in_field,Weight
27806,14.8222625,-72.19517778,0.02418,24250,26856,23.293,0.044,22.642,0.052,00 59 17.343,-72 11 42.64,,2.0549452,IN,2
2735,14.70864583,-72.18119167,0.018636,24200,26797,23.289,0.014,22.636,0.016,00 58 50.075,-72 10 52.29,,2.0549462,IN,2
5114,14.72525833,-72.15669444,0.024635,24293,26905,23.295,0.049,22.645,0.046,00 58 54.062,-72 09 24.10,,2.0549462,IN,2
10687,14.75355417,-72.18631389,0.009906,24396,27028,23.303,0.019,22.657,0.017,00 59 00.853,-72 11 10.73,,2.0549462,IN,2
24740,14.8049125,-72.18136944,0.011844,27364,30646,23.511,0.025,22.969,0.014,00 59 13.179,-72 10 52.93,,2.0549462,IN,2
23092,14.79717917,-72.15874444,0.020732,23524,25992,23.241,0.023,22.564,0.016,00 59 11.323,-72 09 31.48,,2.0549462,IN,2
2421,14.70662083,-72.15508333,0.029321,23170,25578,23.215,0.044,22.525,0.049,00 58 49.589,-72 09 18.30,,2.054947,IN,2
28084,14.8240375,-72.18673333,0.019385,13994,15018,22.465,0.038,21.4,0.028,00 59 17.769,-72 11 12.24,,2.054947,IN,2
19661,14.78304167,-72.15561111,0.022348,23740,26243,23.257,0.019,22.588,0.014,00 59 07.930,-72 09 20.20,,2.054947,IN,2
20853,14.78742917,-72.15687778,0.021435,24389,27020,23.301,0.033,22.654,0.027,00 59 08.983,-72 09 24.76,,2.0549479,IN,2
29961,14.83682083,-72.16372222,0.025091,24388,27019,23.301,0.016,22.654,0.027,00 59 20.837,-72 09 49.40,,2.0549479,IN,2
23033,14.79693333,-72.15410556,0.02498,20395,22302,23.004,0.034,22.208,0.06,00 59 11.264,-72 09 14.78,,2.0553932,IN,2
20355,14.7855375,-72.17410278,0.006267,23414,25864,23.234,0.022,22.553,0.013,00 59 08.529,-72 10 26.77,,2.0553932,IN,2
22028,14.79244167,-72.1814,0.008345,25536,28402,23.38,0.011,22.772,0.012,00 59 10.186,-72 10 53.04,,2.0553932,IN,2
9560,14.7490125,-72.15810556,0.020277,24439,27079,23.306,0.022,22.661,0.024,00 58 59.763,-72 09 29.18,,2.055394,IN,2
17519,14.77589167,-72.16306944,0.014615,24504,27159,23.308,0.016,22.664,0.012,00 59 06.214,-72 09 47.05,,2.055395,IN,2
21157,14.78856667,-72.15769722,0.02075,22645,24955,23.175,0.052,22.464,0.077,00 59 09.256,-72 09 27.71,,2.0558393,IN,2
15995,14.77125833,-72.15730278,0.020217,24257,26864,23.293,0.016,22.641,0.02,00 59 05.102,-72 09 26.29,,2.0558393,IN,2
18593,14.77944583,-72.17291944,0.005705,24883,27606,23.335,0.028,22.704,0.03,00 59 07.067,-72 10 22.51,,2.0558393,IN,2
20554,14.78626667,-72.16293889,0.015562,22865,25220,23.191,0.011,22.488,0.013,00 59 08.704,-72 09 46.58,,2.05584,IN,2
6168,14.73193333,-72.15851944,0.022012,21648,23767,23.095,0.054,22.344,0.047,00 58 55.664,-72 09 30.67,,2.05584,IN,2
23569,14.7993125,-72.16185278,0.018298,24578,27243,23.313,0.011,22.671,0.013,00 59 11.835,-72 09 42.67,,2.055841,IN,2
19599,14.782825,-72.15564444,0.022302,23956,26498,23.271,0.02,22.608,0.019,00 59 07.878,-72 09 20.32,,2.055841,IN,2
15523,14.76984583,-72.16534444,0.012164,23631,26115,23.249,0.012,22.575,0.019,00 59 04.763,-72 09 55.24,,2.055841,IN,2
24718,14.80477917,-72.16354722,0.017866,25448,28286,23.375,0.016,22.764,0.024,00 59 13.147,-72 09 48.77,,2.055841,IN,2
24650,14.80446667,-72.153575,0.02636,24207,26807,23.287,0.02,22.632,0.016,00 59 13.072,-72 09 12.87,,2.0558417,IN,2
25778,14.81045,-72.18456111,0.014696,20940,22935,23.045,0.097,22.269,0.04,00 59 14.508,-72 11 04.42,,2.0558417,IN,2
27501,14.820425,-72.15765833,0.025459,24586,27253,23.314,0.027,22.672,0.018,00 59 16.902,-72 09 27.57,,2.056286,IN,2
22793,14.79587083,-72.15713056,0.022046,23362,25802,23.23,0.022,22.546,0.031,00 59 11.009,-72 09 25.67,,2.056288,IN,2
9207,14.74750417,-72.19664167,0.020174,24694,27382,23.322,0.021,22.684,0.022,00 58 59.401,-72 11 47.91,,2.0562887,IN,2
11326,14.75601667,-72.19573333,0.018619,23941,26478,23.269,0.018,22.604,0.014,00 59 01.444,-72 11 44.64,,2.056734,IN,2
24149,14.80195417,-72.18645278,0.013638,16713,18064,22.705,0.024,21.758,0.023,00 59 12.469,-72 11 11.23,,2.0567358,IN,2
26325,14.81356667,-72.19518056,0.022452,27055,30260,23.489,0.023,22.934,0.015,00 59 15.256,-72 11 42.65,,2.0567358,IN,2
17937,14.77725417,-72.18817222,0.011016,25730,28637,23.392,0.015,22.788,0.015,00 59 06.541,-72 11 17.42,,2.0571828,IN,2
19584,14.7827375,-72.15873889,0.019273,22702,25024,23.176,0.027,22.464,0.042,00 59 07.857,-72 09 31.46,,2.0571828,IN,2
1911,14.70288333,-72.19629167,0.027459,25253,28044,23.358,0.018,22.737,0.015,00 58 48.692,-72 11 46.65,,2.0571828,IN,2
7770,14.74064167,-72.19329722,0.017926,23547,26020,23.242,0.02,22.563,0.029,00 58 57.754,-72 11 35.87,,2.0571835,IN,2
21445,14.7898625,-72.15928056,0.019376,26123,29124,23.422,0.024,22.833,0.013,00 59 09.567,-72 09 33.41,,2.0571835,IN,2
9789,14.74996667,-72.18826111,0.01214,25569,28440,23.384,0.02,22.776,0.018,00 58 59.992,-72 11 17.74,,2.0571845,IN,2
13940,14.76495417,-72.15526944,0.022255,21609,23723,23.091,0.041,22.336,0.057,00 59 03.589,-72 09 18.97,,2.0576289,IN,2
17207,14.77488333,-72.15529444,0.022296,22944,25315,23.199,0.016,22.498,0.021,00 59 05.972,-72 09 19.06,,2.0576296,IN,2
2521,14.7071875,-72.16311389,0.023611,25889,28848,23.407,0.017,22.81,0.025,00 58 49.725,-72 09 47.21,,2.0576296,IN,2
14568,14.76687917,-72.162575,0.014932,25726,28631,23.393,0.026,22.789,0.021,00 59 04.051,-72 09 45.27,,2.0576296,IN,2
17807,14.776825,-72.15438056,0.023265,25267,28062,23.361,0.017,22.741,0.019,00 59 06.438,-72 09 15.77,,2.0576305,IN,2
19566,14.78269583,-72.15745833,0.020519,23990,26539,23.273,0.041,22.609,0.059,00 59 07.847,-72 09 26.85,,2.0576313,IN,2
1829,14.70240833,-72.19135833,0.024472,25283,28081,23.362,0.013,22.742,0.016,00 58 48.578,-72 11 28.89,,2.0580757,IN,2
1667,14.70118333,-72.18040278,0.020755,23086,25479,23.206,0.016,22.508,0.013,00 58 48.284,-72 10 49.45,,2.0580766,IN,2
24568,14.80405417,-72.18265278,0.012085,25133,27904,23.352,0.023,22.727,0.02,00 59 12.973,-72 10 57.55,,2.0580766,IN,2
4099,14.71809167,-72.18956944,0.019544,23641,26126,23.25,0.02,22.574,0.014,00 58 52.342,-72 11 22.45,,2.0580776,IN,2
16860,14.77386667,-72.15523611,0.022328,24541,27200,23.312,0.016,22.667,0.017,00 59 05.728,-72 09 18.85,,2.0580776,IN,2
27455,14.82012083,-72.16145278,0.02256,25371,28191,23.368,0.022,22.751,0.018,00 59 16.829,-72 09 41.23,,2.0580776,IN,2
2004,14.70364167,-72.15367222,0.030989,27252,30510,23.502,0.042,22.952,0.052,00 58 48.874,-72 09 13.22,,2.0580783,IN,2
13220,14.76255,-72.16942778,0.008264,27618,30973,23.529,0.014,22.992,0.056,00 59 03.012,-72 10 09.94,,2.0585227,IN,2
22924,14.79640833,-72.19399444,0.018597,22096,24309,23.133,0.022,22.398,0.021,00 59 11.138,-72 11 38.38,,2.0585227,IN,2
16925,14.7740375,-72.19015,0.01277,24484,27137,23.307,0.036,22.659,0.023,00 59 05.769,-72 11 24.54,,2.0585227,IN,2
7594,14.73968333,-72.19696389,0.021346,26352,29402,23.439,0.017,22.857,0.023,00 58 57.524,-72 11 49.07,,2.0585227,IN,2
25292,14.807825,-72.15525556,0.02532,23036,25423,23.205,0.021,22.506,0.012,00 59 13.878,-72 09 18.92,,2.0585237,IN,2
22147,14.79303333,-72.196775,0.020703,25658,28548,23.389,0.018,22.782,0.019,00 59 10.328,-72 11 48.39,,2.0585244,IN,2
7513,14.73926667,-72.15820278,0.021251,22032,24229,23.125,0.026,22.386,0.022,00 58 57.424,-72 09 29.53,,2.0585244,IN,2
7087,14.7371,-72.15451389,0.024897,20239,22124,22.993,0.071,22.188,0.081,00 58 56.904,-72 09 16.25,,2.0585244,IN,2
18246,14.77835417,-72.15621944,0.021501,25294,28096,23.363,0.016,22.743,0.024,00 59 06.805,-72 09 22.39,,2.0585253,IN,2
3666,14.7150875,-72.1765,0.016328,25096,27861,23.349,0.017,22.722,0.014,00 58 51.621,-72 10 35.40,,2.0585253,IN,2
12678,14.76073333,-72.1675,0.010267,25452,28291,23.372,0.018,22.756,0.015,00 59 02.576,-72 10 03.00,,2.0589705,IN,2
20960,14.78782083,-72.18140278,0.007127,23874,26395,23.264,0.014,22.594,0.013,00 59 09.077,-72 10 53.05,,2.0589714,IN,2
7474,14.73907917,-72.16269167,0.017307,24870,27591,23.334,0.019,22.699,0.015,00 58 57.379,-72 09 45.69,,2.0589714,IN,2
4549,14.72129167,-72.18774167,0.017666,25911,28874,23.41,0.041,22.813,0.022,00 58 53.110,-72 11 15.87,,2.0589714,IN,2
5928,14.730425,-72.16649167,0.015996,24845,27562,23.334,0.021,22.699,0.016,00 58 55.302,-72 09 59.37,,2.0589714,IN,2
29415,14.83274167,-72.167225,0.022235,24140,26724,23.284,0.024,22.624,0.036,00 59 19.858,-72 10 02.01,,2.0589714,IN,2
16212,14.77192083,-72.16909722,0.008474,23761,26266,23.258,0.071,22.585,0.072,00 59 05.261,-72 10 08.75,,2.0589714,IN,2
19374,14.78205417,-72.16038333,0.017625,21522,23622,23.086,0.02,22.327,0.023,00 59 07.693,-72 09 37.38,,2.0589724,IN,2
15274,14.7691,-72.15252778,0.024973,29049,32781,23.628,0.036,23.14,0.07,00 59 04.584,-72 09 09.10,,2.0589724,IN,2
12334,14.75964167,-72.1534,0.024247,21829,23982,23.109,0.056,22.361,0.062,00 59 02.314,-72 09 12.24,,2.0594175,IN,2
1664,14.70115833,-72.17688611,0.02057,24840,27556,23.333,0.016,22.697,0.011,00 58 48.278,-72 10 36.79,,2.0594184,IN,2
5876,14.73015833,-72.15388056,0.026355,21665,23789,23.097,0.046,22.343,0.041,00 58 55.238,-72 09 13.97,,2.0594184,IN,2
30519,14.84062083,-72.15813611,0.029411,25643,28530,23.389,0.023,22.781,0.014,00 59 21.749,-72 09 29.29,,2.0594184,IN,2
12967,14.76164167,-72.16208611,0.015549,27457,30764,23.517,0.017,22.973,0.063,00 59 02.794,-72 09 43.51,,2.0594192,IN,2
14478,14.766575,-72.1938,0.016309,25151,27924,23.352,0.013,22.725,0.013,00 59 03.978,-72 11 37.68,,2.0598645,IN,2
13019,14.76182083,-72.16008056,0.017533,26178,29191,23.428,0.021,22.839,0.03,00 59 02.837,-72 09 36.29,,2.0598645,IN,2
25124,14.80687917,-72.17719722,0.011802,24928,27657,23.338,0.013,22.704,0.013,00 59 13.651,-72 10 37.91,,2.0598645,IN,2
8734,14.74542083,-72.16607222,0.013409,26734,29856,23.466,0.014,22.896,0.015,00 58 58.901,-72 09 57.86,,2.0598652,IN,2
28039,14.82373333,-72.16685278,0.020026,25370,28190,23.368,0.017,22.749,0.015,00 59 17.696,-72 10 00.67,,2.0598652,IN,2
15742,14.77050833,-72.15899722,0.018515,24546,27205,23.314,0.082,22.668,0.084,00 59 04.922,-72 09 32.39,,2.0598652,IN,2
7799,14.7408375,-72.19159444,0.016414,25725,28630,23.392,0.018,22.785,0.025,00 58 57.801,-72 11 29.74,,2.0598662,IN,2
29226,14.83141667,-72.16682778,0.022066,19749,21552,22.953,0.014,22.126,0.016,00 59 19.540,-72 10 00.58,,2.0603123,IN,2
631,14.69250833,-72.16106389,0.028447,21274,23326,23.071,0.025,22.303,0.043,00 58 46.202,-72 09 39.83,,2.0603123,IN,2
4832,14.72335,-72.20235,0.028405,24465,27111,23.307,0.021,22.657,0.021,00 58 53.604,-72 12 08.46,,2.0603123,IN,2
6633,14.7346625,-72.19405,0.019494,21403,23482,23.079,0.019,22.315,0.021,00 58 56.319,-72 11 38.58,,2.0603132,IN,2
17625,14.77623333,-72.15687778,0.020764,23627,26110,23.249,0.02,22.57,0.015,00 59 06.296,-72 09 24.76,,2.060314,IN,2
26860,14.8166,-72.19996944,0.026886,26049,29036,23.42,0.053,22.826,0.044,00 59 15.984,-72 11 59.89,,2.06076,IN,2
28234,14.8251125,-72.15524722,0.028241,25424,28260,23.372,0.029,22.754,0.029,00 59 18.027,-72 09 18.89,,2.06076,IN,2
25017,14.80639583,-72.15323611,0.026919,25218,28000,23.356,0.022,22.73,0.023,00 59 13.535,-72 09 11.65,,2.060762,IN,2
9875,14.7503375,-72.15672222,0.021496,24648,27326,23.321,0.024,22.677,0.023,00 59 00.081,-72 09 24.20,,2.0612063,IN,2
5906,14.73030833,-72.15568889,0.024725,27434,30731,23.515,0.033,22.968,0.057,00 58 55.274,-72 09 20.48,,2.0612063,IN,2
15281,14.7691375,-72.16887778,0.008626,25409,28240,23.369,0.016,22.749,0.019,00 59 04.593,-72 10 07.96,,2.0612063,IN,2
7493,14.73915833,-72.15492222,0.024281,24904,27631,23.337,0.025,22.701,0.019,00 58 57.398,-72 09 17.72,,2.061207,IN,2
12770,14.76102917,-72.15611667,0.0215,23781,26290,23.259,0.022,22.584,0.03,00 59 02.647,-72 09 22.02,,2.0612087,IN,2
3271,14.71237083,-72.15409722,0.029008,23756,26261,23.259,0.056,22.584,0.041,00 58 50.969,-72 09 14.75,,2.0612087,IN,2
27858,14.822575,-72.16451667,0.02108,18712,20341,22.868,0.059,21.997,0.077,00 59 17.418,-72 09 52.26,,2.0616548,IN,2
21272,14.78909167,-72.153325,0.024997,25455,28294,23.374,0.016,22.756,0.017,00 59 09.382,-72 09 11.97,,2.0616548,IN,2
11644,14.75722917,-72.19451667,0.017352,25396,28225,23.37,0.019,22.75,0.032,00 59 01.735,-72 11 40.26,,2.0616558,IN,2
25157,14.8070625,-72.17344444,0.01253,25564,28434,23.384,0.009,22.771,0.015,00 59 13.695,-72 10 24.40,,2.0616558,IN,2
17209,14.77488333,-72.18848333,0.011165,23341,25777,23.227,0.015,22.535,0.033,00 59 05.972,-72 11 18.54,,2.0621011,IN,2
11432,14.75641667,-72.15420833,0.023576,21341,23406,23.077,0.036,22.31,0.051,00 59 01.540,-72 09 15.15,,2.0621018,IN,2
13926,14.76490417,-72.17929444,0.002079,13225,14182,22.385,0.014,21.272,0.015,00 59 03.577,-72 10 45.46,,2.0621028,IN,2
6407,14.73324583,-72.18458611,0.012865,22259,24502,23.146,0.02,22.413,0.016,00 58 55.979,-72 11 04.51,,2.0625489,IN,2
28610,14.82745,-72.19605556,0.025911,40894,47885,24.32,0.09,24.174,0.058,00 59 18.588,-72 11 45.80,,2.0625489,IN,2
21099,14.788325,-72.17749722,0.006119,27672,31038,23.534,0.023,22.995,0.015,00 59 09.198,-72 10 38.99,,2.0625489,IN,2
24455,14.80353333,-72.16293056,0.018123,25125,27895,23.35,0.013,22.719,0.014,00 59 12.848,-72 09 46.55,,2.0625496,IN,2
5338,14.726575,-72.18781944,0.016424,25035,27786,23.345,0.015,22.711,0.025,00 58 54.378,-72 11 16.15,,2.062995,IN,2
15376,14.76938333,-72.17786389,0.000485,23952,26494,23.269,0.016,22.597,0.015,00 59 04.652,-72 10 40.31,,2.062995,IN,2
26800,14.8162125,-72.16447222,0.019612,24822,27537,23.333,0.013,22.693,0.015,00 59 15.891,-72 09 52.10,,2.062996,IN,2
12406,14.75988333,-72.19113889,0.013882,25834,28776,23.403,0.025,22.798,0.018,00 59 02.372,-72 11 28.10,,2.062996,IN,2
28544,14.82700417,-72.17196667,0.018793,23056,25444,23.205,0.025,22.501,0.024,00 59 18.481,-72 10 19.08,,2.0629966,IN,2
7192,14.73767917,-72.16014444,0.019731,29621,33489,23.665,0.041,23.191,0.03,00 58 57.043,-72 09 36.52,,2.0629976,IN,2
28478,14.82654167,-72.19070556,0.022171,24254,26861,23.292,0.056,22.631,0.044,00 59 18.370,-72 11 26.54,,2.0634427,IN,2
10061,14.7511375,-72.17313889,0.006836,24810,27520,23.33,0.05,22.688,0.04,00 59 00.273,-72 10 23.30,,2.0634437,IN,2
67,14.68737917,-72.178225,0.024788,25502,28352,23.378,0.02,22.76,0.018,00 58 44.971,-72 10 41.61,,2.0634437,IN,2
24437,14.80340833,-72.15813889,0.022141,24621,27295,23.318,0.021,22.67,0.017,00 59 12.818,-72 09 29.30,,2.0634446,IN,2
24572,14.804075,-72.19434722,0.020085,27071,30278,23.491,0.019,22.929,0.055,00 59 12.978,-72 11 39.65,,2.0638888,IN,2
23462,14.79885833,-72.1556,0.023812,23321,25754,23.227,0.011,22.533,0.021,00 59 11.726,-72 09 20.16,,2.0638888,IN,2
1406,14.69915833,-72.16597222,0.024113,22556,24854,23.167,0.026,22.443,0.03,00 58 47.798,-72 09 57.50,,2.0638897,IN,2
1596,14.70058333,-72.17815,0.020746,24684,27371,23.323,0.018,22.677,0.013,00 58 48.140,-72 10 41.34,,2.0638907,IN,2
28252,14.82522083,-72.1994,0.027972,23550,26023,23.243,0.041,22.557,0.026,00 59 18.053,-72 11 57.84,,2.0638914,IN,2
8283,14.74319167,-72.18043611,0.008236,24940,27671,23.339,0.017,22.701,0.013,00 58 58.366,-72 10 49.57,,2.0638914,IN,2
11609,14.75712083,-72.16685833,0.011182,26032,29016,23.419,0.013,22.821,0.017,00 59 01.709,-72 10 00.69,,2.0638924,IN,2
29316,14.831975,-72.1745,0.01971,21877,24040,23.112,0.024,22.36,0.038,00 59 19.674,-72 10 28.20,,2.0643368,IN,2
25846,14.810875,-72.15900833,0.02262,25124,27894,23.352,0.016,22.72,0.026,00 59 14.610,-72 09 32.43,,2.0643375,IN,2
28857,14.8290625,-72.16585556,0.021939,25468,28310,23.374,0.021,22.753,0.022,00 59 18.975,-72 09 57.08,,2.0643384,IN,2
4449,14.72062083,-72.17833333,0.014627,28994,32713,23.624,0.033,23.128,0.019,00 58 52.949,-72 10 42.00,,2.0643384,IN,2
29027,14.83011667,-72.16655833,0.021852,23319,25750,23.224,0.027,22.528,0.019,00 59 19.228,-72 09 59.61,,2.0643394,IN,2
4565,14.72140833,-72.17695833,0.014373,25942,28911,23.413,0.033,22.811,0.025,00 58 53.138,-72 10 37.05,,2.0647845,IN,2
9592,14.74914583,-72.15800278,0.020363,22958,25329,23.199,0.034,22.49,0.035,00 58 59.795,-72 09 28.81,,2.0647845,IN,2
22051,14.79257083,-72.19187222,0.016173,24433,27071,23.303,0.026,22.646,0.014,00 59 10.217,-72 11 30.74,,2.0647845,IN,2
11543,14.75680417,-72.20103333,0.023796,25165,27940,23.353,0.015,22.721,0.019,00 59 01.633,-72 12 03.72,,2.0647855,IN,2
20655,14.7867,-72.18585,0.010065,12324,13182,22.283,0.019,21.116,0.014,00 59 08.808,-72 11 09.06,,2.0647871,IN,2
24874,14.80552917,-72.1702,0.013526,25017,27763,23.344,0.02,22.707,0.016,00 59 13.327,-72 10 12.72,,2.0652316,IN,2
24904,14.80567083,-72.15856111,0.022123,21855,24016,22.776,0.023,21.855,0.023,00 59 13.361,-72 09 30.82,,2.0652316,IN,2
22033,14.79245833,-72.17414167,0.008112,21068,23089,23.056,0.013,22.275,0.01,00 59 10.190,-72 10 26.91,,2.0652323,IN,2
1519,14.7,-72.16498611,0.024379,24943,27675,23.34,0.021,22.701,0.034,00 58 48.000,-72 09 53.95,,2.0652323,IN,2
15024,14.76830417,-72.18032778,0.002828,19906,21737,22.967,0.052,22.141,0.079,00 59 04.393,-72 10 49.18,,2.0656776,IN,2
4751,14.7229,-72.18646667,0.016543,24436,27074,23.305,0.024,22.648,0.031,00 58 53.496,-72 11 11.28,,2.0656793,IN,2
5684,14.72886667,-72.15425,0.026204,25359,28176,23.369,0.039,22.744,0.037,00 58 54.928,-72 09 15.30,,2.0656793,IN,2
26765,14.81596667,-72.16558056,0.018835,22317,24574,23.149,0.015,22.414,0.013,00 59 15.832,-72 09 56.09,,2.0656803,IN,2
25476,14.80885417,-72.19013333,0.017701,25323,28135,23.366,0.02,22.739,0.019,00 59 14.125,-72 11 24.48,,2.0661254,IN,2
227,14.68881667,-72.17621111,0.024373,24947,27679,23.338,0.017,22.697,0.019,00 58 45.316,-72 10 34.36,,2.0661254,IN,2
11790,14.7576625,-72.1841,0.007364,26753,29879,23.466,0.041,22.889,0.023,00 59 01.839,-72 11 02.76,,2.0661263,IN,2
27045,14.81761667,-72.16535556,0.019369,25099,27864,23.348,0.013,22.712,0.012,00 59 16.228,-72 09 55.28,,2.0661263,IN,2
5823,14.72981667,-72.16698333,0.0158,26670,29780,23.46,0.017,22.88,0.02,00 58 55.156,-72 10 01.14,,2.0661263,IN,2
14802,14.7676375,-72.19104444,0.013546,25956,28926,23.412,0.015,22.808,0.016,00 59 04.233,-72 11 27.76,,2.066127,IN,2
31428,14.847675,-72.17947222,0.024363,23794,26305,23.26,0.014,22.58,0.015,00 59 23.442,-72 10 46.10,,2.066127,IN,2
15872,14.77092083,-72.15363056,0.023883,23281,25704,23.224,0.084,22.526,0.068,00 59 05.021,-72 09 13.07,,2.066129,IN,2
2784,14.70903333,-72.15988333,0.0253,27428,30724,23.515,0.037,22.962,0.055,00 58 50.168,-72 09 35.58,,2.0665734,IN,2
9310,14.748,-72.19160833,0.015419,24690,27378,23.323,0.019,22.674,0.03,00 58 59.520,-72 11 29.79,,2.066574,IN,2
11612,14.75712917,-72.15332778,0.024415,24916,27645,23.337,0.03,22.695,0.016,00 59 01.711,-72 09 11.98,,2.066574,IN,2
5068,14.72497083,-72.16887778,0.015829,16645,17987,22.701,0.021,21.741,0.016,00 58 53.993,-72 10 07.96,,2.066575,IN,2
8568,14.7445375,-72.15635278,0.022368,25717,28620,23.394,0.024,22.78,0.028,00 58 58.689,-72 09 22.87,,2.0670195,IN,2
18312,14.77857083,-72.15439722,0.023315,24355,26978,23.3,0.022,22.639,0.025,00 59 06.857,-72 09 15.83,,2.0670202,IN,2
29584,14.83400417,-72.17398889,0.020406,26848,30005,23.472,0.017,22.897,0.024,00 59 20.161,-72 10 26.36,,2.0670218,IN,2
21454,14.78989167,-72.17597778,0.006772,25454,28293,23.374,0.019,22.75,0.016,00 59 09.574,-72 10 33.52,,2.0670218,IN,2
9728,14.7496875,-72.17585833,0.005939,28274,31780,23.571,0.03,23.045,0.018,00 58 59.925,-72 10 33.09,,2.0674672,IN,2
1255,14.6978375,-72.17922222,0.021644,23074,25465,23.205,0.018,22.496,0.021,00 58 47.481,-72 10 45.20,,2.0674682,IN,2
7736,14.74046667,-72.15842778,0.020894,25440,28276,23.371,0.017,22.745,0.019,00 58 57.712,-72 09 30.34,,2.0674682,IN,2
30865,14.843175,-72.18361667,0.023706,26608,29707,23.457,0.02,22.874,0.022,00 59 22.362,-72 11 01.02,,2.067469,IN,2
19542,14.7825875,-72.15304167,0.024845,12034,12866,22.249,0.025,21.062,0.022,00 59 07.821,-72 09 10.95,,2.067469,IN,2
15966,14.77115833,-72.15331111,0.024204,23560,26036,23.243,0.02,22.553,0.025,00 59 05.078,-72 09 11.92,,2.067469,IN,2
15534,14.76986667,-72.1557,0.021805,23388,25836,23.23,0.026,22.533,0.031,00 59 04.768,-72 09 20.52,,2.0679142,IN,2
13592,14.763725,-72.15627222,0.021275,25653,28542,23.388,0.045,22.77,0.06,00 59 03.294,-72 09 22.58,,2.067916,IN,2
20875,14.78752917,-72.20100833,0.02423,25752,28666,23.396,0.027,22.782,0.013,00 59 09.007,-72 12 03.63,,2.067916,IN,2
26052,14.812025,-72.18761667,0.016765,25547,28415,23.381,0.037,22.759,0.026,00 59 14.886,-72 11 15.42,,2.068363,IN,2
25821,14.81073333,-72.17354722,0.013567,25782,28706,23.399,0.015,22.786,0.016,00 59 14.576,-72 10 24.77,,2.0683637,IN,2
18139,14.7779625,-72.18251111,0.005813,23374,25820,23.231,0.022,22.534,0.019,00 59 06.711,-72 10 57.04,,2.0683637,IN,2
31135,14.8453,-72.16738611,0.025642,24729,27425,23.325,0.023,22.675,0.023,00 59 22.872,-72 10 02.59,,2.0683646,IN,2
8900,14.74607917,-72.1683,0.011448,25728,28634,23.394,0.015,22.778,0.012,00 58 59.059,-72 10 05.88,,2.068809,IN,2
30380,14.83966667,-72.19421389,0.027488,24035,26593,23.276,0.053,22.601,0.039,00 59 21.520,-72 11 39.17,,2.068809,IN,2
14527,14.76674167,-72.17537222,0.002183,15702,16918,22.622,0.03,21.62,0.038,00 59 04.018,-72 10 31.34,,2.068809,IN,2
1792,14.70211667,-72.16781944,0.022465,24555,27214,23.312,0.017,22.655,0.024,00 58 48.508,-72 10 04.15,,2.0688097,IN,2
28172,14.82472083,-72.17032222,0.018695,25936,28905,23.41,0.023,22.802,0.022,00 59 17.933,-72 10 13.16,,2.0688097,IN,2
13628,14.76385833,-72.17770833,0.001385,16601,17934,22.698,0.021,21.734,0.012,00 59 03.326,-72 10 39.75,,2.0688107,IN,2
13689,14.76406667,-72.16475,0.012817,25891,28850,23.408,0.016,22.799,0.016,00 59 03.376,-72 09 53.10,,2.0688114,IN,2
9766,14.7498375,-72.15593889,0.022293,27079,30287,23.491,0.031,22.923,0.032,00 58 59.961,-72 09 21.38,,2.0692558,IN,2
2184,14.704875,-72.19868056,0.02873,24829,27544,23.333,0.023,22.686,0.013,00 58 49.170,-72 11 55.25,,2.0692568,IN,2
19295,14.78180833,-72.16091667,0.017089,25863,28811,23.403,0.02,22.791,0.028,00 59 07.634,-72 09 39.30,,2.0692568,IN,2
9762,14.74982917,-72.20016389,0.02336,24033,26591,23.276,0.018,22.6,0.019,00 58 59.959,-72 12 00.59,,2.0697029,IN,2
25515,14.809025,-72.17425556,0.012871,26044,29030,23.418,0.015,22.813,0.011,00 59 14.166,-72 10 27.32,,2.0697038,IN,2
19259,14.78169583,-72.16940278,0.009072,24654,27333,23.32,0.021,22.666,0.02,00 59 07.607,-72 10 09.85,,2.0697038,IN,2
2953,14.71019167,-72.19274444,0.023427,22509,24798,23.164,0.022,22.432,0.018,00 58 50.446,-72 11 33.88,,2.0697045,IN,2
3350,14.71285833,-72.18116389,0.017368,26046,29032,23.42,0.016,22.816,0.024,00 58 51.086,-72 10 52.19,,2.0697045,IN,2
3085,14.71112083,-72.17757778,0.017511,25953,28923,23.414,0.017,22.807,0.011,00 58 50.669,-72 10 39.28,,2.0697045,IN,2
19487,14.78242917,-72.16218611,0.01591,21824,23977,23.11,0.012,22.351,0.014,00 59 07.783,-72 09 43.87,,2.0697055,IN,2
4429,14.72049583,-72.19762778,0.024885,27031,30226,23.487,0.026,22.916,0.025,00 58 52.919,-72 11 51.46,,2.0701506,IN,2
4168,14.71862917,-72.15955556,0.02353,15118,16265,22.571,0.035,21.542,0.038,00 58 52.471,-72 09 34.40,,2.0701506,IN,2
8404,14.7437375,-72.15925556,0.019738,25052,27808,23.345,0.027,22.703,0.024,00 58 58.497,-72 09 33.32,,2.0701516,IN,2
22807,14.79591667,-72.15338333,0.025553,24577,27242,23.315,0.022,22.658,0.017,00 59 11.020,-72 09 12.18,,2.0701516,IN,2
9148,14.7472875,-72.17748611,0.006441,26072,29066,23.421,0.049,22.817,0.075,00 58 59.349,-72 10 38.95,,2.0701516,IN,2
