,RA,DEC,_r,recno,ID,F555W,e_F555W,F814W,e_F814W,RAJ2000,DEJ2000,MPG,d,in_field,Weight
19390,14.7821125,-72.15811944,0.019835,21002,23010,23.048,0.019,22.44,0.022,00 59 07.707,-72 09 29.23,,1.9069188,IN,2
20153,14.78482917,-72.15388333,0.024151,20886,22866,23.042,0.017,22.431,0.026,00 59 08.359,-72 09 13.98,,1.9069188,IN,2
18712,14.77982917,-72.1741,0.004893,24197,26794,23.288,0.025,22.8,0.013,00 59 07.159,-72 10 26.76,,1.9069196,IN,2
20691,14.78685833,-72.15306389,0.025086,18684,20311,22.865,0.02,22.165,0.017,00 59 08.846,-72 09 11.03,,1.9073648,IN,2
7219,14.7378,-72.16136944,0.018644,22327,24585,23.147,0.015,22.588,0.021,00 58 57.072,-72 09 40.93,,1.9073657,IN,2
24190,14.8021625,-72.15534167,0.024461,21159,23194,23.063,0.021,22.462,0.021,00 59 12.519,-72 09 19.23,,1.9073657,IN,2
28836,14.82891667,-72.15984722,0.025608,21284,23336,23.069,0.024,22.471,0.023,00 59 18.940,-72 09 35.45,,1.9073657,IN,2
27486,14.82033333,-72.17404444,0.016288,21608,23721,23.091,0.014,22.504,0.021,00 59 16.880,-72 10 26.56,,1.9073657,IN,2
21488,14.79001667,-72.19336667,0.017198,19436,21185,22.927,0.023,22.258,0.021,00 59 09.604,-72 11 36.12,,1.9073665,IN,2
4448,14.72061667,-72.18343333,0.015762,20928,22916,23.045,0.018,22.435,0.016,00 58 52.948,-72 11 00.36,,1.9073665,IN,2
23457,14.79882917,-72.19705,0.021662,21560,23667,23.089,0.015,22.501,0.015,00 59 11.719,-72 11 49.38,,1.9073673,IN,2
