objid,ra,dec,i,r,g,ra_px,dec_px
1237667253465252229,150.041997222273,24.7486692210656,21.2532,21.59143,22.17778,815.7604860077918,112.93382375352212
1237667253465252104,150.026272981323,24.8552348505237,18.17557,19.37904,20.84834,1780.7438799676793,266.11970267070956
1237667253465252308,150.098741341199,24.6931306362221,18.98328,20.03649,21.39264,198.03757133439183,417.3394502463774
1237667253465252106,150.087935235689,24.7278681765803,18.78937,20.30297,21.74258,526.0492492837711,422.1648320718426
1237667253465252108,150.104679197728,24.722331231104,18.97678,20.31091,21.69884,438.27946282815003,540.2311971692548
1237667253465252475,150.115514630997,24.8713290108805,19.54868,20.36891,21.88516,1710.1533474768696,1013.1588733040707
1237667253465252492,150.137088056454,24.8214487609457,19.46249,20.69683,22.14962,1224.9102653996579,1054.0808586882479
1237667253465252090,150.152447107137,24.8196625020167,18.60605,19.35262,20.71971,1173.140961649328,1170.8676848331932
1237667253465252092,150.187904834944,24.7142530126769,18.64437,19.32526,20.6775,171.54482055041467,1177.7632912057402
1237667253465252565,150.168296609551,24.8151464228346,21.63633,22.26506,22.76611,1096.4546508179255,1284.4549575444503
1237667253465252749,150.161938797541,24.8575227835586,21.43437,22.04382,23.99487,1480.4867063826314,1344.1859481957008
1237667253465252407,150.140443265247,24.692592989247,19.94702,21.48755,22.89017,94.86843522820459,745.950352038399
1237667253465252457,150.1562940429,24.7290475595746,21.39384,21.446,21.79945,374.9329450727181,966.0342188616069
1237667253465252008,150.12175367136,24.7389788861799,18.25492,18.61925,19.46593,542.9268780950499,718.5720175171085
1237667253465252516,150.134350559508,24.8544530099658,19.24774,19.92525,21.19432,1518.7770525702877,1118.168587800341
1237667253465251901,150.138018469772,24.8478868384859,14.94462,15.16121,15.64881,1452.9487025268882,1130.1036179331222
1237667253465252112,150.111456165426,24.7168574735022,18.27649,20.37946,21.95203,374.6088420760509,579.6204198476295
1237667253465252060,150.146426309579,24.8828452139839,17.75558,18.19408,19.2008,1737.564186729343,1287.3375524823432
1237667253465252552,150.168418857299,24.8045548412663,19.0085,19.82662,21.2619,1003.9250576986371,1257.9326684712605
1237667253465252252,150.030835143119,24.8197291338158,20.52613,21.46392,23.02042,1460.8347952095353,209.70684070010407
1237667253465252375,150.084245187614,24.832755991028,21.99681,22.14959,23.15999,1448.0629053789924,665.7571773857734
1237667253465252414,150.086047713457,24.8828978597477,20.75269,20.8628,21.17934,1880.4117666162313,810.4033351698929
1237667253465252088,150.160978152069,24.7022654562056,18.10913,19.00454,20.39777,130.64383235754372,933.572557330589
1237667253465252576,150.194202822108,24.7599643385761,19.51958,20.15436,21.4052,554.8197691159895,1346.1634656207007
1237667253465252121,149.999538549879,24.8683537897539,19.9638,20.1419,20.4111,1958.1754852750287,89.07202573098493
1237667253465251877,150.084912074246,24.8049396538322,15.3514,15.70017,16.66281,1204.2816088681418,598.6870931374359
1237667253465252551,150.19403583313,24.724369609456,19.22174,20.69304,21.94645,245.20298460232493,1252.5197914220234
1237667253465252171,150.167315430107,24.7465725498719,21.77319,22.02842,22.58073,501.56215649185856,1098.7192876076444
1237667253465252497,150.134523803819,24.8387809830209,20.63986,21.37869,22.94551,1381.89178150636,1078.8295608077178
1237667253465252035,150.09011928491,24.8946716534318,21.08154,21.17871,21.74955,1973.3232932437104,873.1880971145529
1237667253465252701,150.152603625681,24.6950764546217,21.54139,22.31421,24.4691,87.79585004669548,848.6351533007631
1237667253465252216,150.049927137414,24.7302630254375,20.00239,21.24969,22.69797,636.7499438588455,127.73940025746617
1237667253465251849,150.051847926922,24.7717409051149,15.40598,15.77499,16.79385,993.3441007076672,250.89049928003902
1237667253465252306,150.0433130927,24.8603145318289,19.64102,20.392,21.72893,1784.6958445690782,413.9894157373342
1237667253465252082,150.082642581118,24.8775585612365,18.55053,19.5678,21.06279,1841.9572507140072,769.6135951654223
1237667253465251972,150.075217754791,24.7592199331021,20.46413,21.39296,22.58882,829.08875874521,403.1168231026444
1237667253465251971,150.077184136899,24.758217675698,18.11109,18.51413,19.59139,815.7154493091994,416.06095638369936
1237667253465252030,150.114027152774,24.8189119303605,18.31012,18.46177,18.78723,1257.2181806131666,865.1823733584827
1237667253465251942,150.019639516547,24.8114065438745,19.60878,19.76844,20.13807,1414.8521578169812,99.54000201662052
1237667253465251854,150.054277108072,24.8118049836711,19.1235,19.38541,19.87847,1336.4302382963485,374.37053784530235
1237667253465252155,150.084387460599,24.8666294386542,20.16583,20.32311,20.63972,1742.6750471223909,754.9765945876093
1237667253465252042,150.168610738939,24.7106632207396,17.18959,17.39533,17.90478,185.7750984279695,1015.7694703492721
1237667253465252071,150.208228853098,24.7291278028813,17.35649,17.61742,18.27921,253.20118237159306,1377.1649566407773
1237667253465252075,150.214532860637,24.7179266722404,15.40498,15.79435,16.88042,140.79069915398168,1398.009232679312
1237667253465251886,150.144323756744,24.7116332009723,20.2646,21.09382,22.53203,251.52075483243436,826.1055278867406
1237667253465251935,150.029523264404,24.7683457791166,16.66769,16.99231,17.88082,1016.5775364689335,65.52526641121403
