,Unnamed: 0,RA,DEC,_r,recno,ID,F555W,e_F555W,F814W,e_F814W,RAJ2000,DEJ2000,MPG,d,in_field,Weight,mask
337,20406,14.7857375,-72.15501944,0.023104,10384,11076,22.05,0.038,21.525,0.036,00 59 08.577,-72 09 18.07,,1.3863615,IN,1,2
77,20914,14.7876625,-72.16244167,0.01618,8853,9428,21.855,0.014,21.317,0.015,00 59 09.039,-72 09 44.79,,1.3107829,IN,1,2
160,21360,14.7895125,-72.18506389,0.009961,7387,7866,21.676,0.015,21.246,0.015,00 59 09.483,-72 11 06.23,,1.1341342,IN,1,2
91,21795,14.7914125,-72.16143889,0.017547,11483,12262,22.183,0.027,21.611,0.021,00 59 09.939,-72 09 41.18,,1.4878803,IN,1,2
37,22431,14.79424583,-72.15752222,0.021496,9990,10647,22.001,0.02,21.453,0.019,00 59 10.619,-72 09 27.08,,1.3850205,IN,1,2
113,22941,14.79647083,-72.16544444,0.014817,345,353,17.612,0.015,17.682,0.019,00 59 11.153,-72 09 55.60,,-1.1305559,IN,1,2
164,23343,14.79832083,-72.15663611,0.022796,11002,11748,22.126,0.022,21.591,0.016,00 59 11.597,-72 09 23.89,,1.4292942,IN,1,2
144,23745,14.8001375,-72.16045556,0.019631,8663,9228,21.834,0.02,21.398,0.014,00 59 12.033,-72 09 37.64,,1.2101588,IN,1,2
198,24202,14.8022,-72.15250278,0.027064,8301,8848,21.786,0.027,21.355,0.057,00 59 12.528,-72 09 09.01,,1.184221,IN,1,2
617,24754,14.80496667,-72.19564167,0.021324,8081,8610,21.76,0.02,21.143,0.02,00 59 13.192,-72 11 44.31,,1.3389581,IN,1,2
93,25083,14.80670417,-72.18546667,0.014189,2742,2963,20.229,0.015,19.95,0.009,00 59 13.609,-72 11 07.68,,0.35195655,IN,1,2
129,25613,14.80950417,-72.19759167,0.023713,6596,7029,21.545,0.015,21.292,0.013,00 59 14.281,-72 11 51.33,,0.9172353,IN,1,2
241,25945,14.81144167,-72.18930278,0.0177,2561,2767,20.099,0.014,19.69,0.018,00 59 14.746,-72 11 21.49,,0.41009563,IN,1,2
126,26247,14.8131875,-72.17148056,0.014992,796,887,18.729,0.011,17.443,0.016,00 59 15.165,-72 10 17.33,,0.5818243,IN,1,2
496,26617,14.81520417,-72.18065556,0.014687,5603,5986,21.328,0.01,21.011,0.011,00 59 15.649,-72 10 50.36,,0.87743217,IN,1,2
320,27150,14.81832917,-72.19470833,0.023023,16596,17929,22.698,0.055,22.318,0.043,00 59 16.399,-72 11 40.95,,1.5464638,IN,1,2
102,27419,14.81987083,-72.15473889,0.027698,3772,4055,20.746,0.014,20.206,0.023,00 59 16.769,-72 09 17.06,,0.81661296,IN,1,2
153,27940,14.82312083,-72.19101667,0.021533,11872,12681,22.23,0.048,21.681,0.047,00 59 17.549,-72 11 27.66,,1.4883264,IN,1,2
110,28362,14.82587917,-72.16295833,0.022846,6699,7137,21.563,0.023,21.272,0.022,00 59 18.211,-72 09 46.65,,0.95927334,IN,1,2
234,28727,14.82814583,-72.19114444,0.022827,3955,4244,20.815,0.051,20.775,0.055,00 59 18.755,-72 11 28.12,,0.40025723,IN,1,2
473,29163,14.83098333,-72.20054722,0.029973,8219,8754,21.777,0.039,21.404,0.04,00 59 19.436,-72 12 01.97,,1.128321,IN,1,2
213,29462,14.83310833,-72.17507222,0.019975,3530,3800,20.65,0.021,20.512,0.028,00 59 19.946,-72 10 30.26,,0.41412005,IN,1,2
120,29717,14.8349875,-72.19298889,0.025608,3961,4250,20.816,0.041,20.766,0.047,00 59 20.397,-72 11 34.76,,0.40964696,IN,1,2
550,29919,14.83655417,-72.17442222,0.021108,9904,10556,21.991,0.023,21.451,0.02,00 59 20.773,-72 10 27.92,,1.3733917,IN,1,2
70,30281,14.83901667,-72.19629444,0.028649,9985,10642,22.001,0.044,21.418,0.048,00 59 21.364,-72 11 46.66,,1.4163253,IN,1,2
162,30521,14.84065417,-72.17200833,0.022809,10768,11498,22.099,0.022,21.742,0.03,00 59 21.757,-72 10 19.23,,1.2580125,IN,1,2
235,30870,14.843225,-72.17046111,0.023983,11882,12694,22.231,0.022,21.746,0.03,00 59 22.374,-72 10 13.66,,1.4315317,IN,1,2
311,31161,14.84550833,-72.18870278,0.026136,10028,10687,22.005,0.03,21.422,0.031,00 59 22.922,-72 11 19.33,,1.4181124,IN,1,2
441,31390,14.84736667,-72.17354722,0.024513,12039,12871,22.25,0.015,21.689,0.013,00 59 23.368,-72 10 24.77,,1.5080049,IN,1,2
252,31593,14.84893333,-72.16896389,0.02611,2235,2427,19.881,0.012,18.806,0.015,00 59 23.744,-72 10 08.27,,0.9082917,IN,1,2
