,Unnamed: 0,RA,DEC,_r,recno,ID,F555W,e_F555W,F814W,e_F814W,RAJ2000,DEJ2000,MPG,d,in_field,Weight,mask
145,14965,14.7680875,-72.17130833,0.006192,5407,5772,21.275,0.011,20.608,0.016,00 59 04.341,-72 10 16.71,,1.1667799,IN,1,3
149,15684,14.770325,-72.16050556,0.017005,7096,7559,21.636,0.017,20.771,0.03,00 59 04.878,-72 09 37.82,,1.5053205,IN,1,3
265,16383,14.77242917,-72.15348333,0.024049,10196,10870,22.028,0.044,21.458,0.041,00 59 05.383,-72 09 12.54,,1.4167724,IN,1,3
105,16982,14.77422083,-72.15451111,0.023059,11899,12713,22.233,0.016,21.735,0.012,00 59 05.813,-72 09 16.24,,1.4440519,IN,1,3
556,17535,14.77593333,-72.156925,0.020706,11275,12038,22.159,0.016,21.57,0.021,00 59 06.224,-72 09 24.93,,1.4923526,IN,1,3
155,18044,14.77765833,-72.18389722,0.007005,2887,3116,20.318,0.029,20.238,0.049,00 59 06.638,-72 11 02.03,,0.21376838,IN,1,3
227,18951,14.78064583,-72.15551667,0.022304,8051,8578,21.756,0.015,21.184,0.019,00 59 07.355,-72 09 19.86,,1.2969201,IN,1,3
132,19537,14.78256667,-72.15551944,0.022409,3524,3794,20.648,0.071,19.872,0.065,00 59 07.816,-72 09 19.87,,0.9838711,IN,1,3
219,20419,14.785775,-72.16856389,0.01041,5561,5938,21.316,0.014,20.954,0.011,00 59 08.586,-72 10 06.83,,0.91231525,IN,1,3
101,20992,14.78792083,-72.16768056,0.011506,13126,14074,22.374,0.013,21.828,0.02,00 59 09.101,-72 10 03.65,,1.5500438,IN,1,3
236,21575,14.79038333,-72.18253333,0.008418,2427,2629,20.007,0.009,20.003,0.013,00 59 09.692,-72 10 57.12,,0.006707931,IN,1,3
179,21928,14.79200833,-72.16675556,0.012961,240,247,17.222,0.012,17.397,0.016,00 59 10.082,-72 10 00.32,553.0,-1.3988833,IN,1,3
130,22459,14.7943875,-72.16166667,0.01773,7877,8395,21.739,0.013,20.943,0.012,00 59 10.653,-72 09 42.00,,1.4896681,IN,1,3
231,22861,14.79615833,-72.15995833,0.019501,8897,9473,21.861,0.015,21.428,0.016,00 59 11.078,-72 09 35.85,,1.219552,IN,1,3
304,23418,14.79866667,-72.15949722,0.020258,7099,7563,21.635,0.016,21.223,0.011,00 59 11.680,-72 09 34.19,,1.0996989,IN,1,3
121,24032,14.80147917,-72.18474444,0.012464,7699,8205,21.719,0.027,21.257,0.023,00 59 12.355,-72 11 05.08,,1.1819854,IN,1,3
612,24533,14.80389167,-72.18655833,0.014158,2934,3166,20.345,0.017,19.769,0.024,00 59 12.934,-72 11 11.61,,0.66947865,IN,1,3
99,24893,14.80560833,-72.15666944,0.023753,9926,10581,21.989,0.017,21.647,0.016,00 59 13.346,-72 09 24.01,,1.195403,IN,1,3
257,25453,14.80866667,-72.16808333,0.015529,9768,10407,21.976,0.016,21.412,0.016,00 59 14.080,-72 10 05.10,,1.3881502,IN,1,3
109,25839,14.8108375,-72.18689722,0.016046,3581,3854,20.678,0.029,20.423,0.021,00 59 14.601,-72 11 12.83,,0.53128874,IN,1,3
443,26212,14.8129875,-72.15883889,0.023135,1861,2038,19.606,0.018,19.651,0.015,00 59 15.117,-72 09 31.82,,-0.21644934,IN,1,3
359,26621,14.81522917,-72.18097222,0.014766,5063,5417,21.177,0.015,20.372,0.018,00 59 15.655,-72 10 51.50,,1.2463846,IN,1,3
504,26910,14.81685833,-72.19371389,0.021984,10093,10759,22.015,0.044,21.619,0.047,00 59 16.046,-72 11 37.37,,1.2553282,IN,1,3
248,27233,14.81874583,-72.15741944,0.025329,12166,13009,22.264,0.022,21.807,0.02,00 59 16.499,-72 09 26.71,,1.4212455,IN,1,3
471,27692,14.82144583,-72.19051944,0.020823,10620,11337,22.082,0.038,21.627,0.046,00 59 17.147,-72 11 25.87,,1.3380634,IN,1,3
211,28118,14.824375,-72.17713611,0.017157,6511,6940,21.531,0.018,21.069,0.015,00 59 17.850,-72 10 37.69,,1.0979093,IN,1,3
123,28429,14.82627083,-72.15423889,0.029256,12792,13696,22.337,0.023,21.923,0.018,00 59 18.305,-72 09 15.26,,1.4154305,IN,1,3
553,28714,14.82807083,-72.19519722,0.025439,12886,13801,22.347,0.039,21.799,0.03,00 59 18.737,-72 11 42.71,,1.5397568,IN,1,3
174,28987,14.82986667,-72.1563,0.028365,2806,3031,20.272,0.038,19.868,0.044,00 59 19.168,-72 09 22.68,,0.4829898,IN,1,3
242,29385,14.8324875,-72.187675,0.022111,7571,8068,21.703,0.029,21.459,0.026,00 59 19.797,-72 11 15.63,,0.9798441,IN,1,3
709,29610,14.83414583,-72.18651111,0.022062,11172,11926,22.147,0.029,21.734,0.025,00 59 20.195,-72 11 11.44,,1.3295658,IN,1,3
173,29798,14.83562083,-72.15669167,0.029285,8563,9121,21.821,0.019,21.262,0.018,00 59 20.549,-72 09 24.09,,1.3143604,IN,1,3
620,30051,14.83748333,-72.18624722,0.022896,954,1070,18.963,0.023,18.018,0.022,00 59 20.996,-72 11 10.49,,0.38147262,IN,1,3
243,30297,14.8391375,-72.19863333,0.030261,12001,12827,22.245,0.05,21.887,0.051,00 59 21.393,-72 11 55.08,,1.3242013,IN,1,3
511,30533,14.8407625,-72.19538611,0.028476,4538,4859,21.013,0.05,20.192,0.036,00 59 21.783,-72 11 43.39,,1.1873533,IN,1,3
430,30769,14.84241667,-72.19374722,0.027887,13597,14589,22.425,0.051,21.928,0.023,00 59 22.180,-72 11 37.49,,1.5290227,IN,1,3
217,30966,14.84406667,-72.19431389,0.028627,12285,13139,22.277,0.045,21.784,0.054,00 59 22.576,-72 11 39.53,,1.4592582,IN,1,3
166,31260,14.84636667,-72.17610833,0.023925,4266,4572,20.918,0.022,20.739,0.011,00 59 23.128,-72 10 33.99,,0.57064325,IN,1,3
275,31560,14.84871667,-72.15506111,0.03331,12338,13197,22.286,0.025,21.847,0.013,00 59 23.692,-72 09 18.22,,1.4149828,IN,1,3
