,Unnamed: 0,RA,DEC,_r,recno,ID,F555W,e_F555W,F814W,e_F814W,RAJ2000,DEJ2000,MPG,d,in_field,Weight,mask
324,28468,14.82647917,-72.16523611,0.021618,5742,6133,21.363,0.022,21.138,0.028,00 59 18.355,-72 09 54.85,,0.81079894,IN,1,0
31,28838,14.82892917,-72.15868889,0.026423,9864,10509,21.986,0.016,21.462,0.013,00 59 18.943,-72 09 31.28,,1.3568462,IN,1,0
156,29137,14.83080417,-72.17954722,0.019229,538,572,18.249,0.024,18.404,0.018,00 59 19.393,-72 10 46.37,689.0,-0.92170584,IN,1,0
25,29541,14.83362917,-72.19173333,0.024529,7758,8268,21.726,0.028,21.301,0.037,00 59 20.071,-72 11 30.24,,1.1520214,IN,1,0
646,29866,14.83614583,-72.18338333,0.02157,7740,8250,21.724,0.019,21.227,0.017,00 59 20.675,-72 11 00.18,,1.2155284,IN,1,0
60,30110,14.83785417,-72.19893056,0.030191,50473,60674,22.796,0.071,24.01,0.049,00 59 21.085,-72 11 56.15,,0.16457376,IN,1,0
303,30337,14.8393875,-72.15891389,0.028616,12657,13551,22.322,0.02,21.936,0.018,00 59 21.453,-72 09 32.09,,1.3836788,IN,1,0
3,30689,14.8418375,-72.16713333,0.024777,12447,13323,22.299,0.022,21.783,0.021,00 59 22.041,-72 10 01.68,,1.4896673,IN,1,0
22,30994,14.844275,-72.17570278,0.023314,610,663,18.389,0.017,18.5,0.014,00 59 22.626,-72 10 32.53,720.0,-0.8197426,IN,1,0
108,31349,14.8470125,-72.19299167,0.028625,12876,13791,22.344,0.048,21.978,0.032,00 59 23.283,-72 11 34.77,,1.3756282,IN,1,0
222,31545,14.84857083,-72.17995833,0.024679,878,979,18.843,0.016,18.908,0.012,00 59 23.657,-72 10 47.85,,-0.5755642,IN,1,0
