,Unnamed: 0,RA,DEC,_r,recno,ID,F555W,e_F555W,F814W,e_F814W,RAJ2000,DEJ2000,MPG,d,in_field,Weight,mask
314,4609,14.72172083,-72.17386111,0.014725,1312,1469,19.344,0.018,18.425,0.015,00 58 53.213,-72 10 25.90,,0.52860695,IN,1,1
128,4854,14.72346667,-72.1697,0.015795,3170,3415,20.466,0.017,19.476,0.021,00 58 53.632,-72 10 10.92,,1.0938841,IN,1,1
576,5235,14.725875,-72.15392778,0.026921,6296,6712,21.48,0.022,20.846,0.041,00 58 54.210,-72 09 14.14,,1.2289417,IN,1,1
87,5564,14.72807083,-72.15341111,0.027062,10647,11368,22.084,0.036,21.528,0.032,00 58 54.737,-72 09 12.28,,1.4292942,IN,1,1
52,5836,14.7299125,-72.16874444,0.014663,4076,4372,20.853,0.015,20.602,0.012,00 58 55.179,-72 10 07.48,,0.6059759,IN,1,1
29,6288,14.73253333,-72.15491667,0.025104,3830,4116,20.77,0.069,20.525,0.037,00 58 55.808,-72 09 17.70,,0.5634901,IN,1,1
148,6878,14.73596667,-72.16665,0.014694,3420,3686,20.6,0.019,20.243,0.012,00 58 56.632,-72 09 59.94,,0.58763915,IN,1,1
68,7317,14.73829583,-72.16821944,0.013065,9092,9682,21.885,0.017,21.571,0.013,00 58 57.191,-72 10 05.59,,1.1238488,IN,1,1
255,7721,14.74042083,-72.19895833,0.023095,13020,13952,22.362,0.039,22.015,0.077,00 58 57.701,-72 11 56.25,,1.3666847,IN,1,1
86,8135,14.74243333,-72.15288889,0.025858,5819,6211,21.374,0.017,21.114,0.017,00 58 58.184,-72 09 10.40,,0.847023,IN,1,1
260,8858,14.745925,-72.15621111,0.022368,8530,9085,21.816,0.042,21.144,0.03,00 58 59.022,-72 09 22.36,,1.4131957,IN,1,1
45,9242,14.7476625,-72.184675,0.009565,3128,3372,20.446,0.015,20.459,0.014,00 58 59.439,-72 11 04.83,,0.18782888,IN,1,1
395,9862,14.7503,-72.17908611,0.005743,4265,4571,20.917,0.01,20.68,0.01,00 59 00.072,-72 10 44.71,,0.6220736,IN,1,1
42,10362,14.752275,-72.15586667,0.022185,9332,9934,21.916,0.035,21.322,0.04,00 59 00.546,-72 09 21.12,,1.388151,IN,1,1
59,11096,14.75517917,-72.18558333,0.00903,6667,7103,21.559,0.015,21.149,0.027,00 59 01.243,-72 11 08.10,,1.063921,IN,1,1
119,11751,14.75754167,-72.15971111,0.018093,1482,1648,19.44,0.029,18.422,0.015,00 59 01.810,-72 09 34.96,,0.66008717,IN,1,1
906,12297,14.7595,-72.17669722,0.00282,1962,2142,19.668,0.016,19.327,0.016,00 59 02.280,-72 10 36.11,,0.15652408,IN,1,1
15,12789,14.76110417,-72.17609444,0.002621,879,980,18.845,0.013,18.833,0.026,00 59 02.665,-72 10 33.94,,-0.50579965,IN,1,1
140,13365,14.76299583,-72.17320278,0.004597,5144,5499,21.198,0.014,20.482,0.014,00 59 03.119,-72 10 23.53,,1.1761714,IN,1,1
142,13927,14.76490833,-72.18295,0.00555,2726,2947,20.22,0.018,20.221,0.014,00 59 03.578,-72 10 58.62,,0.09749104,IN,1,1
9,14612,14.76699167,-72.15625278,0.021251,1928,2108,19.647,0.023,18.511,0.02,00 59 04.078,-72 09 22.51,,0.8582023,IN,1,1
267,15177,14.7688125,-72.17835,0.000863,3549,3820,20.663,0.011,20.654,0.009,00 59 04.515,-72 10 42.06,,0.3045532,IN,1,1
55,15862,14.77089167,-72.15384444,0.023669,1760,1934,19.561,0.024,18.52,0.019,00 59 05.014,-72 09 13.84,,0.7347726,IN,1,1
67,16423,14.77256667,-72.15360556,0.02393,6292,6707,21.48,0.08,20.773,0.099,00 59 05.416,-72 09 12.98,,1.2942349,IN,1,1
75,17495,14.77579583,-72.20076944,0.023381,11865,12674,22.229,0.015,21.853,0.017,00 59 06.191,-72 12 02.77,,1.3331432,IN,1,1
26,18095,14.7778125,-72.17452778,0.004154,2967,3200,20.363,0.069,20.06,0.086,00 59 06.675,-72 10 28.30,,0.4333516,IN,1,1
78,18958,14.780675,-72.16231389,0.015649,7747,8257,21.724,0.013,21.15,0.016,00 59 07.362,-72 09 44.33,,1.284399,IN,1,1
17,19535,14.7825625,-72.17547222,0.004804,8925,9503,21.863,0.015,21.108,0.015,00 59 07.815,-72 10 31.70,,1.5084528,IN,1,1
317,19987,14.78422917,-72.1834,0.007647,242,249,17.236,0.012,15.762,0.007,00 59 08.215,-72 11 00.24,,0.082287304,IN,1,1
5,20659,14.78672083,-72.15903611,0.019303,451,462,17.95,0.018,16.591,0.011,00 59 08.813,-72 09 32.53,,0.29874006,IN,1,1
58,21265,14.78907083,-72.15855556,0.01998,2548,2753,20.088,0.016,19.913,0.021,00 59 09.377,-72 09 30.80,,0.19587858,IN,1,1
19,21670,14.79079583,-72.16745556,0.012173,12289,13143,22.277,0.019,21.828,0.018,00 59 09.791,-72 10 02.84,,1.4199045,IN,1,1
32,22169,14.79311667,-72.15680833,0.02204,1365,1524,19.369,0.02,18.365,0.014,00 59 10.348,-72 09 24.51,,0.6158126,IN,1,1
57,22608,14.79507083,-72.17185,0.009946,9320,9922,21.915,0.014,21.162,0.016,00 59 10.817,-72 10 18.66,,1.5299183,IN,1,1
24,23059,14.79701667,-72.19272222,0.017571,6396,6821,21.503,0.019,21.064,0.023,00 59 11.284,-72 11 33.80,,1.0648166,IN,1,1
47,23678,14.7997875,-72.17425,0.010162,2941,3173,20.348,0.014,20.366,0.013,00 59 11.949,-72 10 27.30,,0.13953076,IN,1,1
177,24189,14.8021625,-72.15781944,0.022241,13865,14876,22.451,0.02,22.106,0.017,00 59 12.519,-72 09 28.15,,1.4046974,IN,1,1
92,24608,14.80427917,-72.16491111,0.016721,10006,10664,22.004,0.011,21.724,0.011,00 59 13.027,-72 09 53.68,,1.1466544,IN,1,1
43,25248,14.80758333,-72.17440556,0.012406,3094,3336,20.427,0.01,20.393,0.012,00 59 13.820,-72 10 27.86,,0.2213711,IN,1,1
85,25685,14.8099375,-72.16673611,0.016676,8814,9388,21.851,0.012,21.468,0.014,00 59 14.385,-72 10 00.25,,1.1703573,IN,1,1
170,26074,14.81220417,-72.16969167,0.015535,7562,8059,21.701,0.013,21.355,0.009,00 59 14.929,-72 10 10.89,,1.0701828,IN,1,1
206,26378,14.81387083,-72.17972778,0.014114,4992,5343,21.157,0.013,20.985,0.01,00 59 15.329,-72 10 47.02,,0.6712665,IN,1,1
112,26818,14.81629167,-72.175125,0.01487,797,889,18.73,0.011,17.696,0.018,00 59 15.910,-72 10 30.45,,0.35687658,IN,1,1
480,27107,14.8180125,-72.15561389,0.026655,33247,38020,15.869,0.02,23.139,0.026,00 59 16.323,-72 09 20.21,,-8.349924,IN,1,1
387,27398,14.8197625,-72.17744722,0.015741,11095,11843,22.139,0.012,21.744,0.017,00 59 16.743,-72 10 38.81,,1.309889,IN,1,1
84,27720,14.82164167,-72.18308889,0.017244,6737,7176,21.569,0.019,21.213,0.024,00 59 17.194,-72 10 59.12,,1.0200951,IN,1,1
158,27995,14.82346667,-72.15534167,0.027858,10878,11617,22.112,0.014,21.546,0.015,00 59 17.632,-72 09 19.23,,1.4507606,IN,1,1
72,28302,14.82552083,-72.18658611,0.019717,9140,9735,21.892,0.026,21.219,0.021,00 59 18.125,-72 11 11.71,,1.448078,IN,1,1
643,28636,14.8276125,-72.19505278,0.025238,9804,10446,21.98,0.027,21.791,0.05,00 59 18.627,-72 11 42.19,,1.0545287,IN,1,1
104,28910,14.82937917,-72.17264167,0.019308,10193,10867,22.026,0.037,21.54,0.039,00 59 19.051,-72 10 21.51,,1.3407443,IN,1,1
62,29387,14.83249167,-72.16570556,0.022912,118,121,16.322,0.008,16.498,0.01,00 59 19.798,-72 09 56.54,694.0,-1.8022693,IN,1,1
321,29719,14.83502083,-72.190175,0.02402,582,630,18.349,0.046,18.374,0.035,00 59 20.405,-72 11 24.63,697.0,-0.7607096,IN,1,1
561,30007,14.837175,-72.16093056,0.026812,7835,8351,21.735,0.022,21.55,0.013,00 59 20.922,-72 09 39.35,,0.9413861,IN,1,1
73,30288,14.839075,-72.15774167,0.029321,12646,13539,22.321,0.014,21.831,0.019,00 59 21.378,-72 09 27.87,,1.4762515,IN,1,1
341,30609,14.8412875,-72.18066667,0.022551,9499,10114,21.94,0.015,21.367,0.015,00 59 21.909,-72 10 50.40,,1.3801013,IN,1,1
807,30862,14.84316667,-72.18124722,0.023206,3477,3745,20.626,0.014,20.236,0.013,00 59 22.360,-72 10 52.49,,0.6287815,IN,1,1
107,31054,14.8447375,-72.17291944,0.023832,11569,12354,22.195,0.013,21.78,0.017,00 59 22.737,-72 10 22.51,,1.35282,IN,1,1
51,31468,14.84793333,-72.17326111,0.024732,7533,8027,21.696,0.021,21.524,0.015,00 59 23.504,-72 10 23.74,,0.9123144,IN,1,1
408,31694,14.84975,-72.16034444,0.030263,4454,4769,20.987,0.016,20.774,0.023,00 59 23.940,-72 09 37.24,,0.631912,IN,1,1
