,Unnamed: 0,RA,DEC,J,H,Av,R,Weight,in_field,mask
300,1742,274.6679635,-13.7975563,19.33009474,17.600311,10.510511,30.369134,1,IN,1
115,1483,274.6685103,-13.792386,18.43508244,16.722605,9.4294294,28.544392,1,IN,1
210,1915,274.6692768,-13.78944444,19.74832496,17.943557,11.231231,31.407184,1,IN,1
129,1829,274.6700671,-13.75175831,18.84248246,16.987744,10.870871,30.191432,1,IN,1
69,1776,274.6706722,-13.78715956,14.92518285,13.851745,10.630631,26.067525,1,IN,1
81,1740,274.6714744,-13.75509948,18.73046057,16.899256,10.510511,29.7695,1,IN,1
526,1868,274.6720399,-13.79347386,19.59369647,17.813775,10.990991,31.045949,1,IN,1
30,1408,274.6725283,-13.79011688,18.21870114,16.539997,8.9489489,27.914797,1,IN,1
196,1831,274.6730642,-13.79688922,19.1652151,17.366178,10.870871,30.514164,1,IN,1
38,1812,274.6738634,-13.78598383,18.80866435,16.9567,10.750751,30.05431,1,IN,1
410,1988,274.6744082,-13.75452821,15.27897471,14.109304,11.591592,27.247744,1,IN,1
53,1380,274.6750134,-13.78120301,13.86940724,13.009992,8.8288288,23.4622,1,IN,1
117,1954,274.6758924,-13.76182502,20.07163119,18.264364,11.471471,31.937097,1,IN,1
35,1862,274.6764014,-13.75173691,19.69208308,17.929858,10.990991,31.144335,1,IN,1
32,1428,274.6771948,-13.78442127,19.40979871,17.851465,9.0690691,29.209198,1,IN,1
18,1977,274.6780082,-13.76575988,19.73875368,17.885772,11.591592,31.707523,1,IN,1
188,1927,274.6788404,-13.75913882,19.31565893,17.462906,11.351351,31.077821,1,IN,1
254,2025,274.6794051,-13.79369105,18.87802155,16.90143,11.711712,30.950094,1,IN,1
29,1472,274.6799465,-13.77759253,14.18811873,13.218516,9.4294294,24.297428,1,IN,1
152,1763,274.6807263,-13.76030535,20.10478728,18.404399,10.630631,31.24713,1,IN,1
149,1886,274.6814519,-13.76063142,20.35304995,18.596894,11.111111,31.908606,1,IN,1
73,1620,274.6821423,-13.75816638,18.91978573,17.189061,10.03003,29.545612,1,IN,1
118,1497,274.6827348,-13.7780367,16.55683898,15.030988,9.5495495,26.769452,1,IN,1
59,1420,274.6836097,-13.75643616,18.58194319,16.931306,9.0690691,28.381343,1,IN,1
24,1899,274.6843507,-13.77273195,16.87928935,15.199959,11.231231,28.538148,1,IN,1
180,1858,274.685002,-13.76080987,19.30871402,17.485398,10.990991,30.760966,1,IN,1
116,1781,274.6855575,-13.7783766,15.00757047,13.906695,10.750751,26.253216,1,IN,1
52,1693,274.6860671,-13.77788753,19.61512139,17.930921,10.39039,30.550857,1,IN,1
318,1465,274.6870806,-13.78809366,18.98442119,17.385943,9.3093093,28.990427,1,IN,1
105,1631,274.6875968,-13.78441065,18.72863738,16.962461,10.03003,29.354463,1,IN,1
230,1859,274.6883859,-13.75909342,19.3238457,17.491213,10.990991,30.776098,1,IN,1
375,1804,274.6893135,-13.75777698,18.36144131,16.466937,10.750751,29.607087,1,IN,1
113,2020,274.6898898,-13.75395361,19.31803614,17.397872,11.711712,31.390108,1,IN,1
56,1627,274.6909848,-13.79281956,15.11368505,13.742432,10.03003,25.739511,1,IN,1
51,1488,274.6918659,-13.78596811,19.84502561,18.26397,9.4294294,29.954335,1,IN,1
60,1778,274.6924269,-13.78481001,19.46686287,17.705895,10.630631,30.609205,1,IN,1
412,1863,274.6931708,-13.75037528,19.1905194,17.379198,10.990991,30.642772,1,IN,1
34,1462,274.6937716,-13.78980484,18.49934069,16.803408,9.3093093,28.505347,1,IN,1
99,1417,274.6948371,-13.7604429,19.30187471,17.744387,9.0690691,29.101274,1,IN,1
61,1421,274.6956855,-13.75156095,17.50984479,15.84329,9.0690691,27.309244,1,IN,1
28,1828,274.6962914,-13.75730808,19.15210448,17.338849,10.870871,30.501054,1,IN,1
88,1611,274.6968009,-13.7730827,18.84039387,17.096042,10.03003,29.46622,1,IN,1
321,1976,274.6973601,-13.76587104,19.35703567,17.475751,11.591592,31.325805,1,IN,1
206,1815,274.6979072,-13.78399998,19.37480767,17.573416,10.750751,30.620453,1,IN,1
122,1485,274.6988924,-13.79030685,18.35917403,16.642211,9.4294294,28.468483,1,IN,1
562,2594,274.6995098,-13.76334658,16.44370129,14.304291,21.201201,36.676735,2,IN,1
246,1361,274.7000412,-13.7596766,18.99747598,17.497931,8.5885886,28.383662,1,IN,1
183,2011,274.7005958,-13.76423882,19.07877121,17.110958,11.711712,31.150843,1,IN,1
