,Unnamed: 0,RA,DEC,J,H,Av,R,Weight,in_field,mask
101,1947,274.69158,-13.76798517,19.3289514,17.437375,11.471471,31.194417,1,IN,2
305,1395,274.6920897,-13.77095339,19.1087364,17.568846,8.9489489,28.804833,1,IN,2
146,1426,274.6928373,-13.78797706,18.90316035,17.320904,9.0690691,28.70256,1,IN,2
95,1434,274.6937592,-13.77287505,19.43225219,17.8652,9.1891892,29.334955,1,IN,2
92,1885,274.6945767,-13.76181694,20.05294146,18.291236,11.111111,31.608497,1,IN,2
83,1477,274.6952664,-13.76158542,19.85622698,18.294443,9.4294294,29.965536,1,IN,2
125,1797,274.6958954,-13.7627273,19.37010944,17.571235,10.750751,30.615755,1,IN,2
297,1718,274.6966146,-13.78676575,18.96234041,17.193896,10.39039,29.898076,1,IN,2
185,1786,274.6972839,-13.77473854,16.5193258,14.929707,10.750751,27.764972,1,IN,2
89,1856,274.6979511,-13.76371483,19.31967847,17.483991,10.990991,30.771931,1,IN,2
437,1925,274.6987233,-13.76204109,18.70793346,16.765488,11.351351,30.470096,1,IN,2
195,1399,274.6992364,-13.76633437,16.35920202,14.905018,8.9489489,26.055298,1,IN,2
342,1964,274.6997606,-13.78983623,19.8337004,17.9888,11.471471,31.699166,1,IN,2
515,1716,274.7003718,-13.78853666,18.37403207,16.51093,10.39039,29.309768,1,IN,2
