,Unnamed: 0,RA,DEC,J,H,Av,R,Weight,in_field,mask
711,2603,274.6872555,-13.75048327,15.70643152,13.594706,21.321321,36.042768,2,IN,3
147,1518,274.6879317,-13.77965004,18.03985379,16.254591,9.6696697,28.35577,1,IN,3
701,2405,274.6886199,-13.75314838,18.06284195,15.936471,15.675676,33.543923,2,IN,3
121,1430,274.6897699,-13.78085354,18.9528216,17.340009,9.1891892,28.855524,1,IN,3
685,2379,274.6904954,-13.7534085,20.04016555,17.718039,15.075075,35.00473,2,IN,3
77,1993,274.6910324,-13.79616975,14.39523932,13.255322,11.591592,26.364008,1,IN,3
521,1908,274.6917027,-13.75477336,20.09992292,18.336442,11.231231,31.758782,1,IN,3
660,2453,274.6922979,-13.76439676,18.80497647,16.466684,17.237237,35.629001,2,IN,3
653,1538,274.6927935,-13.78681264,19.20749061,17.55983,9.6696697,29.523407,2,IN,3
324,1872,274.6933299,-13.78426178,17.94877075,16.07916,10.990991,29.401023,1,IN,3
141,1843,274.693856,-13.77843191,19.17567336,17.337457,10.990991,30.627926,1,IN,3
143,1999,274.6945299,-13.78252068,16.27848382,14.665378,11.591592,28.247253,1,IN,3
377,1707,274.6950242,-13.76073134,20.02150033,18.345944,10.39039,30.957236,1,IN,3
157,1736,274.695638,-13.76026218,18.13946925,16.250841,10.510511,29.178508,1,IN,3
201,1905,274.6962478,-13.75934253,18.41736093,16.450159,11.231231,30.07622,1,IN,3
249,1445,274.6967696,-13.79161437,17.84100551,16.101883,9.1891892,27.743708,1,IN,3
598,1665,274.6974531,-13.76812703,19.2584996,17.531479,10.27027,30.090932,2,IN,3
139,1920,274.6980213,-13.76785515,18.37734638,16.408058,11.351351,30.139509,1,IN,3
193,1738,274.6987712,-13.75662814,18.98783173,17.168147,10.510511,30.026871,1,IN,3
471,1952,274.6996456,-13.76285513,19.7323887,17.894674,11.471471,31.597854,1,IN,3
541,2673,274.7006059,-13.7854512,16.70511873,14.345093,23.603604,39.004218,2,IN,3
