,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
25,77.2,1585661157,1,0,201205.76-564702.4,303.023944,-56.784039,36,36,58317.5438,0,0.509,,,,,,,,,,,,,,,,,,,,,,,,,19.7567,0.1446,19.7124,0.1652,19.7376,0.1098,,,,,,,10.3,481592513.0
26,79.03,1585661328,7,0,201213.95-564545.7,303.058089,-56.762749,36,36,58321.8191,0,0.768,,,,,,,,,,,,,20.2029,0.023,19.9905,0.0956,20.222,0.0405,19.7658,0.0371,19.6629,0.1395,19.784,0.0619,19.4078,0.0367,19.634,0.1395,19.5528,0.0935,,,,,,,14.4,1585661329.0
27,85.56,481592506,3,0,201157.63-564440.8,302.989857,-56.744783,36,57,58171.6059,0,0.598,,,,,,,,,,,,,,,,,,,,,,,,,19.4887,0.0628,19.4663,0.1731,19.3658,0.1416,18.8166,0.063,18.9322,0.1241,18.8407,0.1107,13.83,481592503.0
28,85.96,481592621,41,0,201213.80-564509.5,303.057469,-56.752695,36,36,58022.2823,7,0.987,17.1373,0.0175,17.1819,0.0463,17.142,0.0217,16.8141,0.0178,16.8753,0.0617,16.818,0.0182,15.5138,0.0066,15.5128,0.0068,15.5142,0.0068,15.1644,0.0071,15.1739,0.0074,15.1651,0.0076,14.9535,0.0062,14.9667,0.0077,14.9536,0.0069,14.8849,0.008,14.9045,0.012,14.8858,0.0088,15.0,
29,87.29,481592510,39,0,201202.30-564420.3,303.009437,-56.739056,36,40,58344.7742,0,0.984,18.1683,0.0546,18.092,0.1588,18.1417,0.0578,17.8274,0.0246,17.9119,0.0884,17.8314,0.0308,16.8159,0.0071,16.8335,0.0151,16.815,0.0076,16.5301,0.0076,16.5583,0.0089,16.5327,0.0084,16.36,0.0059,16.3914,0.0098,16.3621,0.0073,16.3074,0.0095,16.3608,0.0178,16.3134,0.0108,15.0,
30,88.45,481592508,3,0,201159.60-564426.6,302.998028,-56.740856,36,37,58171.6039,0,0.521,,,,,,,,,,,,,,,,,,,20.165,0.1044,20.1642,0.1275,20.1263,0.0819,19.5827,0.0735,19.5067,0.1132,19.473,0.0751,,,,,,,13.26,481592504.0
31,89.22,1585661129,5,0,201153.69-564528.8,302.973684,-56.758028,37,36,58320.5352,0,0.65,,,,,,,,,,,,,20.4059,0.125,20.2953,0.0861,20.4845,0.0578,19.8726,0.1437,19.7163,0.0681,19.9741,0.0921,19.3725,0.2166,19.0413,0.1314,19.3982,0.0813,,,,,,,15.0,
32,90.98,1585661329,3,0,201215.36-564554.3,303.063957,-56.765126,62,36,58322.1748,0,0.561,,,,,,,,,,,,,,,,,,,20.3164,0.0776,20.2756,0.1172,20.375,0.0747,19.5055,0.0602,19.8662,0.2389,19.5087,0.0901,,,,,,,14.4,1585661328.0
33,96.47,481592517,39,0,201211.25-564704.0,303.046845,-56.784495,36,36,58006.428,3,0.992,15.8043,0.0136,15.8106,0.0274,15.808,0.0166,15.4541,0.013,15.4805,0.0225,15.4512,0.0143,14.2989,0.0073,14.3033,0.0075,14.3004,0.0076,13.996,0.0083,14.0035,0.008,13.9964,0.0086,13.8324,0.006,13.8386,0.0084,13.8339,0.0067,13.7899,0.0075,13.7998,0.0083,13.7904,0.0084,15.0,
34,97.34,481592504,14,0,201157.99-564423.9,302.991469,-56.740063,36,36,58328.4558,0,0.96,,,,,,,,,,,,,19.7676,0.0226,19.9719,0.0525,19.788,0.0283,19.0443,0.0196,19.2242,0.0452,19.0529,0.0254,18.4594,0.0151,18.5475,0.0392,18.457,0.0244,18.2151,0.019,18.3143,0.0771,18.2251,0.0387,13.26,481592508.0
