source_id,ra_Gaia,dec_Gaia,g,bp_rp,phot_variable_flag,Star_Id,RA_HST,Dec_HST,RA_toGaia,Dec_toGaia,F125W,eF125W,F139M,eF139M,F160W,eF160W,J,eJ,H,eH,Ks,eKs,inMUSE,membership,Weight
5.94E+18,251.760679,-45.86164486,15.322501,4.984647,NOT_AVAILABLE,5879,251.7607088,-45.8616435,251.760676,-45.8616507,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.694,0.008999,9.5830001,0.008,9.0600004,0.010999,1,1,1
5.94E+18,251.768371,-45.84444242,15.409983,4.892823,NOT_AVAILABLE,5659,251.7683757,-45.8444517,251.7683593,-45.8444531,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.748999,0.018999,9.7060003,0.014999,9.151,0.032,1,1,1
5.94E+18,251.7680828,-45.85285012,15.513021,6.2611446,NOT_AVAILABLE,6009,251.7681177,-45.8528497,251.7680942,-45.8528533,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.083999,0.012,9.0579996,0.130999,7.6719999,0.041,1,1,1
5.94E+18,251.7575968,-45.8619653,15.551808,5.006811,NOT_AVAILABLE,3082,251.7576311,-45.8619624,251.7575972,-45.8619703,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.956999,0.009999,9.8629999,0.008,9.3549995,0.013,1,1,1
5.94E+18,251.7760249,-45.84704235,15.566784,4.927703,NOT_AVAILABLE,3492,251.776033,-45.8470512,251.7760166,-45.8470518,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.984999,0.013,9.8979997,0.004999,9.3649997,0.014,1,1,1
5.94E+18,251.7474882,-45.84632815,15.5722275,4.390855,NOT_AVAILABLE,1484,251.7475143,-45.8463322,251.7474904,-45.846338,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.326999,0.013,10.338,0.006,9.8760004,0.010999,1,1,1
5.94E+18,251.7558274,-45.86410415,15.609009,4.844208,VARIABLE,5780,251.7558647,-45.8640983,251.7558285,-45.864107,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.064,0.009999,9.9980001,0.009999,9.493,0.012,1,1,1
5.94E+18,251.7656498,-45.84958122,15.625835,4.432521,NOT_AVAILABLE,3424,251.7656657,-45.8495901,251.7656443,-45.8495933,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.918,0.008999,9.7969999,0.006,9.25,0.013,1,1,1
5.94E+18,251.7662232,-45.86293206,15.675524,4.738517,NOT_AVAILABLE,903,251.7662525,-45.8629287,251.7662202,-45.8629352,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.192999,0.014,10.131999,0.007,9.6459999,0.012,1,1,1
5.94E+18,251.7608121,-45.85497509,15.685612,4.849348,NOT_AVAILABLE,1167,251.7608409,-45.8549774,251.7608136,-45.8549829,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.06,0.012,9.9689998,0.008,9.4680004,0.014,1,1,1
5.94E+18,251.7559858,-45.8389861,15.694382,4.51655,NOT_AVAILABLE,4370,251.7559969,-45.8389942,251.7559815,-45.8389966,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.364999,0.012,10.34,0.008,9.8830003,0.012,1,1,1
5.94E+18,251.7553346,-45.84043503,15.7051735,4.796052,VARIABLE,1684,251.7553494,-45.8404444,251.7553326,-45.8404473,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.097,0.012,10.003,0.007,9.4960002,0.010999,1,1,1
5.94E+18,251.7619146,-45.84616786,15.712761,4.937068,NOT_AVAILABLE,5109,251.7619322,-45.8461761,251.7619125,-45.8461792,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.031999,0.012,9.9069995,0.008,9.3839998,0.012,1,1,1
5.94E+18,251.7776124,-45.84160742,15.756383,4.6702404,NOT_AVAILABLE,1628,251.7776155,-45.8416177,251.777604,-45.8416166,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.223999,0.014,10.152,0.008,9.644,0.013,1,1,1
5.94E+18,251.7605251,-45.86346619,15.795116,4.544902,NOT_AVAILABLE,884,251.760559,-45.8634617,251.7605246,-45.8634694,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.493,0.008999,10.465999,0.008999,10.001999,0.012,1,1,1
5.94E+18,251.7579142,-45.84214292,15.797556,4.6191854,NOT_AVAILABLE,1629,251.7579307,-45.8421528,251.7579132,-45.8421556,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.375,0.014,10.317999,0.007,9.8529996,0.014999,1,1,1
5.94E+18,251.7491387,-45.83960973,15.848607,4.3539143,NOT_AVAILABLE,1710,251.7491544,-45.8396186,251.7491366,-45.8396224,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.67,0.014999,10.694999,0.004999,10.262,0.009999,1,1,1
5.94E+18,251.7591434,-45.86099985,15.885628,4.923789,NOT_AVAILABLE,4307,251.7591765,-45.8610023,251.7591438,-45.8610096,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.303999,0.009999,10.178,0.014,9.6730003,0.017999,1,1,1
5.94E+18,251.7733391,-45.84806122,15.913909,4.7799063,NOT_AVAILABLE,5927,251.7733516,-45.8480705,251.7733336,-45.8480719,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.401,0.014,10.335,0.007,9.8500003,0.017999,1,1,1
5.94E+18,251.7655555,-45.85352425,15.935652,5.8520403,NOT_AVAILABLE,5608,251.7655767,-45.8535376,251.765552,-45.8535418,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.602999,0.014999,9.3030004,0.019999,8.6049995,0.027,1,1,1
5.94E+18,251.7628227,-45.8453261,15.96059,4.9780636,VARIABLE,3533,251.7628408,-45.845335,251.7628221,-45.8453377,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.215,0.012,10.076999,0.008999,9.571,0.017,1,1,1
5.94E+18,251.7652724,-45.85575237,15.961437,4.065284,VARIABLE,4920,251.7652956,-45.8557525,251.765269,-45.8557573,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.189,0.014999,10.015999,0.010999,9.4989995,0.016,1,1,1
5.94E+18,251.7646207,-45.84419302,15.963594,5.209673,NOT_AVAILABLE,5944,251.764642,-45.844203,251.7646247,-45.8442051,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.144,0.012,9.9540004,0.009999,9.4149999,0.030999,1,1,1
5.94E+18,251.7602313,-45.85694801,15.97933,5.2325926,NOT_AVAILABLE,1085,251.7602593,-45.8569496,251.7602302,-45.8569557,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.102999,0.010999,9.9259996,0.008,9.3889999,0.010999,1,1,1
5.94E+18,251.7664954,-45.86047896,15.982361,5.512189,VARIABLE,36,251.766501,-45.860477,251.7664708,-45.8604828,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.130999,0.045,7.9650001,,6.7389998,,1,1,1
5.94E+18,251.7760686,-45.8511154,15.986829,5.509817,VARIABLE,4336,251.7760863,-45.8511241,251.7760665,-45.8511257,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.711,0.013,9.4300003,0.018999,8.5810003,0.039999,1,1,1
