,MainID,ra_now,dec_now,Gmag
36,6210089708594944896,234.76973751496504,-28.593848227105653,20.457344
94,6210089884688873472,234.72531747774363,-28.575834147492333,20.458805
18,6210089575451214080,234.7486996790721,-28.60775130680255,20.46324
57,6210089644170699392,234.77333401078457,-28.59603962878858,20.536854
86,6210089884688875776,234.73427614391193,-28.57046907740225,20.538052
99,6210092839626372992,234.72390620670865,-28.575931591418144,20.540545
39,6210089987768089088,234.74509764117707,-28.574743055344108,20.620907
21,6210089884688871296,234.73729637138726,-28.583069542868458,20.641775
17,6210089609810958720,234.7632475539203,-28.59811725596124,20.669788
50,6210089987768089856,234.74855435154203,-28.572439289276005,20.67739
78,6210089541091477376,234.77179718651308,-28.607924717686412,20.725454
45,6210089850329127680,234.72521205194565,-28.594650865143674,20.807463
42,6210089884688871936,234.73234532294862,-28.580025919851767,20.817894
32,6210089712890271232,234.76395577371133,-28.582622711809694,20.8803
16,6210089712890178816,234.76239248678317,-28.588527357623963,20.929731
28,6210089575451214720,234.7374447974749,-28.607133565336397,20.962635
15,6210089609810956416,234.7592162950987,-28.602325947538986,20.965168
54,6210089884688873600,234.7346191267212,-28.575991143013685,21.038988
37,6210089575451309184,234.75174191246597,-28.612047638975497,21.07696
22,6210089712890176000,234.76505050772852,-28.59553544177196,21.09955
2,6210089815969393536,234.7453678805283,-28.58853372993028,21.126545
