,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
67,42.03,266605689,7,2051,181839.75-134656.4,274.665651,-13.782339,36,36,57703.352,2,0.99,15.1072,0.0376,15.0796,0.0528,15.1064,0.0418,14.7269,0.0336,14.7427,0.037,14.7248,0.0351,13.9289,0.0253,13.9083,0.0201,13.9372,0.0217,13.5464,0.0244,13.5414,0.0216,13.5506,0.0246,13.2137,0.0491,13.1066,0.0222,13.2341,0.0271,12.9866,0.0718,12.8781,0.0378,13.0093,0.046,3.22,266605687.0
68,42.22,1309068185,2,0,181844.31-134604.8,274.684682,-13.767992,87,36,57210.5581,0,0.504,,,,,,,,,,,,,,,,,,,,,,,,,19.9968,0.0383,20.8932,0.3823,20.6504,0.2795,18.0195,0.4054,18.5597,0.1009,18.5085,0.1061,6.57,2374957672.0
69,42.39,2374957674,4,3,181844.70-134614.3,274.686272,-13.770663,36,91,57110.3098,0,0.965,,,,,,,,,,,,,,,,,,,18.0031,0.2743,17.856,0.2973,18.2277,0.1752,16.7998,0.0928,16.5511,0.219,16.7921,0.0651,15.9368,0.0548,15.8758,0.0612,15.9418,0.0533,4.5,2374957669.0
70,43.31,266605711,5,3,181844.35-134656.8,274.684769,-13.782398,509,173,57754.8724,0,0.966,,,,,,,,,,,,,,,,,,,,,,,,,17.8433,0.0852,17.9659,0.047,17.7248,0.1358,16.9191,0.1657,16.7757,0.2287,16.8129,0.0889,2.73,1309065041.0
71,43.61,266605692,2,1,181840.74-134709.7,274.669788,-13.786007,36,36,57975.9647,0,0.666,,,,,,,,,,,,,,,,,,,,,,,,,19.4607,0.0712,20.0359,0.1257,19.8807,0.1118,18.3772,,18.9424,,18.5865,,5.08,266605691.0
72,43.79,266608134,5,0,181842.97-134548.5,274.679062,-13.763495,76,36,58080.2281,0,0.957,,,,,,,,,,,,,,,,,,,,,,,,,17.9598,0.1719,18.3491,0.1586,18.1674,0.1379,17.0765,0.0352,17.1514,0.0652,17.0945,0.0421,4.74,266608130.0
73,43.81,266608110,36,3,181844.98-134624.9,274.687445,-13.773587,36,36,57582.5341,0,0.999,13.1719,0.0204,13.1535,0.0191,13.192,0.0201,13.0089,0.0099,12.9892,0.0095,13.0152,0.0105,12.3109,0.0102,12.3006,0.0094,12.3199,0.0111,11.9849,0.0127,11.9673,0.0113,11.9915,0.0125,11.7106,0.0154,11.6885,0.0143,11.7206,0.0155,11.5442,0.0227,11.431,0.0308,11.5607,0.0224,11.3,2374957674.0
74,43.98,266608101,24,3,181844.65-134650.8,274.686083,-13.780778,95,134,57672.5837,0,0.983,,,,,,,,,,,,,17.8711,0.0365,18.1467,0.1544,17.8933,0.0162,16.7941,0.0392,16.9234,0.0307,16.8316,0.0288,15.5627,0.0754,15.4059,0.0323,15.7809,0.0231,14.6152,0.1326,14.6335,0.026,15.2282,0.03,7.24,1309065041.0
75,44.0,266605694,30,3,181842.03-134714.1,274.675134,-13.787222,36,36,57632.7976,11,0.982,17.6958,0.0316,17.8118,0.0905,17.7276,0.0356,17.0297,0.014,17.0512,0.0243,17.0275,0.0159,15.7073,0.0127,15.7251,0.0249,15.7037,0.0142,15.1817,0.0113,15.1924,0.0259,15.1803,0.0126,14.7261,0.018,14.6325,0.0409,14.7325,0.016,14.4664,0.0328,14.3892,0.0565,14.4683,0.029,7.72,266605702.0
76,44.8,2374957677,0,1025,181839.78-134558.9,274.665764,-13.766374,36,36,57210.5575,0,0.961,,,,,,,,,,,,,,,,,,,,,,,,,18.3858,,18.7646,,18.5125,,,,,,,,7.06,266608113.0
77,45.19,266605708,10,3,181843.88-134705.8,274.682848,-13.784975,36,56,56984.9692,0,0.982,,,,,,,,,,,,,,,,,,,17.0515,0.0226,17.0762,0.0415,17.0526,0.0322,16.0851,0.0228,16.0885,0.0329,16.0906,0.0219,15.4094,0.0442,15.2984,0.0696,15.4261,0.0316,4.2,1309065036.0
78,45.96,1309065041,2,3,181844.51-134657.7,274.685483,-13.782704,36,36,58741.3755,0,0.976,,,,,,,,,,,,,,,,,,,,,,,,,17.9245,0.0577,17.9284,0.0437,17.8857,0.0397,17.0352,0.1126,16.9279,0.0628,16.9412,0.0553,2.73,266605711.0
79,46.22,266608121,19,1,181841.32-134544.9,274.672188,-13.762456,62,60,57675.1482,0,0.983,,,,,,,,,,,,,,,,,,,,,,,,,16.7205,0.0185,16.7691,0.0306,16.7121,0.0166,15.8616,0.0184,15.9302,0.0426,15.847,0.0194,8.84,266608122.0
80,46.28,1309065036,0,1027,181843.69-134709.0,274.682072,-13.785866,36,36,58741.3762,0,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0963,,17.2717,,17.1437,,4.2,266605708.0
81,46.44,266605691,9,3,181840.93-134713.7,274.670603,-13.787174,48,44,57576.9981,0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,17.526,0.0339,17.5446,0.0474,17.4554,0.0194,16.6744,0.0702,16.7174,0.1662,16.6091,0.0356,4.85,266605681.0
82,46.93,266608122,5,0,181841.92-134543.0,274.674665,-13.761968,36,36,57198.1897,0,0.963,,,,,,,,,,,,,,,,,,,,,,,,,17.9466,0.0249,18.052,0.0287,17.9612,0.0291,17.0895,0.039,17.3091,0.0709,17.1238,0.0546,8.84,266608121.0
83,47.07,266608036,5,3,181838.80-134623.3,274.661679,-13.773109,36,62,57125.1912,0,0.972,,,,,,,,,,,,,,,,,,,,,,,,,18.1289,0.0606,18.2569,0.0489,18.2128,0.0454,17.2446,0.0668,17.5244,0.1363,17.3822,0.0697,5.47,266608085.0
84,47.96,2374954246,1,1,181843.51-134712.5,274.681301,-13.786833,36,36,58741.3748,0,0.677,,,,,,,,,,,,,,,,,,,,,,,,,18.7728,0.3718,18.448,0.1098,18.9797,0.0887,,,,,,,4.4,1309065036.0
85,48.02,266605704,1,0,181843.01-134715.7,274.679208,-13.787696,36,36,56845.5623,0,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0773,0.2372,17.1182,0.1353,17.1668,0.0907,1.27,1309065031.0
86,48.11,266605702,4,1,181842.50-134717.5,274.677096,-13.788208,36,173,57038.0337,0,0.965,,,,,,,,,,,,,,,,,,,17.7174,0.0431,18.0551,0.1829,17.7886,0.0868,16.5981,0.0429,16.6737,0.0588,16.5517,0.0345,15.9339,0.0982,16.0112,0.0659,15.9023,0.0527,6.5,1309065031.0
