,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
41,89.21,481595866,21,0,201253.90-565000.3,303.224504,-56.833541,36,124,58018.8609,1,0.598,,,,,,,,,,,,,18.2839,0.207,17.781,0.1533,18.669,0.055,17.7221,0.1856,16.9926,0.0915,18.0836,0.0174,17.353,0.0901,16.8512,0.0537,17.61,0.0131,17.0976,0.0989,16.7497,0.0715,17.3507,0.0174,15.0,
42,90.29,481592688,10,0,201249.86-564852.2,303.20779,-56.81453,42,36,58380.1955,0,0.798,,,,,,,,,,,,,20.1727,0.062,20.102,0.0838,20.1696,0.0454,19.5944,0.0843,19.3115,0.1278,19.5695,0.046,19.0868,0.0548,18.9519,0.0639,19.1035,0.0373,18.5464,0.2649,18.4962,0.1194,18.7241,0.1003,15.0,
43,92.25,481595875,5,0,201301.13-565024.2,303.254769,-56.840173,36,39,58230.193,0,0.869,,,,,,,,,,,,,20.4296,0.046,20.5824,0.2035,20.5124,0.096,19.7355,0.029,19.9133,0.2035,19.7906,0.0493,19.1685,0.029,19.2892,0.087,19.2477,0.0586,,,,,,,10.96,481595876.0
44,93.44,1585661491,1,0,201259.27-564719.9,303.246944,-56.788861,36,36,58591.7617,0,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3889,0.0496,18.4961,0.1786,18.3478,0.096,15.0,
45,94.48,1585661466,14,0,201253.45-564740.1,303.22269,-56.794502,36,52,58473.5615,0,0.961,,,,,,,,,,,,,19.993,0.0264,20.0547,0.1198,20.0225,0.0403,19.0955,0.0268,19.1424,0.0599,19.1025,0.0463,18.4687,0.0204,18.5958,0.0498,18.4921,0.0251,18.1955,0.0227,18.259,0.0846,18.1768,0.0326,11.42,1585661465.0
46,96.89,481592687,12,0,201249.20-564906.7,303.205008,-56.818638,36,58,58340.4932,0,0.959,,,,,,,,,,,,,19.2583,0.032,19.2597,0.1034,19.2802,0.0482,19.0735,0.0219,19.0636,0.0735,19.0476,0.0406,18.8655,0.026,18.9614,0.0541,18.841,0.0336,18.8128,0.0761,18.6375,0.1298,18.6909,0.092,15.0,
47,97.62,481595876,19,0,201302.36-565029.0,303.259813,-56.84146,36,36,57992.1421,0,0.98,,,,,,,,,,,,,18.6254,0.0221,18.66,0.0362,18.6168,0.0229,18.3015,0.0205,18.2748,0.0527,18.2933,0.0168,18.1233,0.0149,18.184,0.0301,18.1264,0.0168,18.0552,0.032,18.0832,0.0771,18.0485,0.0294,10.96,481595875.0
48,100.05,1585661500,5,0,201305.04-564718.3,303.271003,-56.788447,95,36,58317.97,0,0.893,,,,,,,,,,,,,19.9645,0.0478,19.7335,0.1811,19.9597,0.0384,19.7321,0.0403,19.6292,0.1036,19.7082,0.0463,19.4322,0.1064,19.3908,0.1187,19.3687,0.08,,,,,,,6.52,1585661493.0
49,100.16,1585661493,2,0,201304.30-564716.1,303.267877,-56.787853,37,161,58317.5416,0,0.511,,,,,,,,,,,,,,,,,,,20.3169,0.0516,20.4635,0.1939,20.3435,0.0997,19.8619,0.0634,20.2293,0.2053,19.9743,0.1364,,,,,,,6.52,1585661500.0
50,101.66,1585661441,5,0,201250.22-564944.1,303.209217,-56.82895,36,55,58317.97,0,0.493,,,,,,,,,,,,,20.4497,0.1138,20.3471,0.1026,20.471,0.0585,19.7043,0.1742,19.7462,0.1457,19.8675,0.0629,19.4379,0.1771,19.4533,0.1555,19.4103,0.0831,,,,,,,13.07,1585661440.0
51,103.13,1585666300,3,0,201310.49-564958.6,303.29369,-56.832989,36,36,58317.8971,0,0.442,,,,,,,,,,,,,20.6368,0.0392,20.7101,0.0875,20.64,0.0675,20.3098,0.0548,20.3977,0.1732,20.2911,0.0946,,,,,,,,,,,,,15.0,
52,104.6,1585661502,2,0,201312.38-564807.3,303.301546,-56.802082,39,63,58318.0766,3,0.313,,,,,,,,,,,,,20.2,0.1748,20.2514,0.1292,20.3132,0.0667,19.9536,0.1154,19.9187,0.1445,19.9183,0.0691,,,,,,,,,,,,,15.0,
53,104.87,1585661440,3,0,201249.16-564934.2,303.204836,-56.826224,36,49,58428.2278,0,0.587,,,,,,,,,,,,,,,,,,,,,,,,,19.5514,0.0355,19.9596,0.1858,19.5833,0.0967,19.05,0.033,19.2697,0.1311,19.0161,0.0933,13.07,1585661441.0
54,105.07,481592712,40,0,201300.33-564707.3,303.251353,-56.785397,36,36,58030.087,0,0.993,16.0756,0.0133,16.0753,0.0167,16.0732,0.017,15.7107,0.0139,15.7306,0.0221,15.7139,0.0145,14.7578,0.0074,14.7626,0.0075,14.758,0.0078,14.483,0.0081,14.4904,0.0082,14.4839,0.0085,14.3299,0.0059,14.3414,0.009,14.3301,0.0067,14.2887,0.0069,14.3019,0.0079,14.2912,0.008,4.52,2686746524.0
55,105.19,1585661465,6,0,201252.23-564734.6,303.21759,-56.792999,77,36,58317.8992,0,0.833,,,,,,,,,,,,,20.4302,0.0485,20.471,0.2667,20.4793,0.1185,19.7283,0.0329,19.9621,0.0886,19.7857,0.0493,19.2839,0.0264,19.5134,0.1052,19.3774,0.0808,18.9242,0.0486,19.1832,0.163,19.1121,0.1408,11.42,1585661466.0
56,105.45,481592704,13,0,201256.75-564712.3,303.236423,-56.786818,36,36,58271.1495,0,0.972,,,,,,,,,,,,,,,,,,,20.0615,0.0673,20.1415,0.0919,20.0845,0.0796,18.4018,0.0152,18.5205,0.0359,18.4078,0.0214,17.6757,0.0162,17.702,0.0685,17.6862,0.023,15.0,
57,108.15,1585661469,3,0,201254.74-564716.6,303.22808,-56.787968,36,36,58428.2278,0,0.651,,,,,,,,,,,,,,,,,,,,,,,,,19.4702,0.0409,19.7129,0.1512,19.4208,0.0837,18.9689,0.0402,19.1746,0.1175,19.0376,0.0951,12.38,1585661472.0
58,109.42,481592685,22,0,201248.96-564803.3,303.203989,-56.800928,36,41,58015.2331,0,0.983,,,,,,,,,,,,,18.1007,0.0093,18.104,0.0168,18.1041,0.0126,17.7621,0.0129,17.7818,0.0177,17.7592,0.0139,17.5447,0.0147,17.5927,0.0217,17.558,0.0119,17.4649,0.0132,17.4982,0.0282,17.4696,0.0187,15.0,
59,109.59,2686746524,0,24,201300.29-564702.9,303.251214,-56.784143,36,492,58331.4418,0,0.982,,,,,,,,,,,,,19.2687,,18.9851,,19.3984,,17.7528,,17.7163,,17.8641,,,,,,,,,,,,,,4.52,481592712.0
60,113.81,481595874,8,0,201302.47-565045.4,303.260322,-56.845957,45,118,58405.0864,0,0.934,,,,,,,,,,,,,,,,,,,,,,,,,19.0585,0.0302,19.2164,0.0675,19.0713,0.0447,18.328,0.0264,18.3541,0.0921,18.3201,0.0561,5.79,2686751554.0
61,114.19,481595915,42,0,201314.42-564826.9,303.310108,-56.807506,36,49,57856.6292,11,1.0,14.682,0.0121,14.6639,0.0113,14.6811,0.0142,14.1737,0.011,14.1818,0.0111,14.1753,0.0123,11.8852,0.0086,11.8873,0.0084,11.8826,0.0095,11.2995,0.0097,11.308,0.0094,11.298,0.0108,10.9426,0.0087,10.9538,0.0085,10.943,0.0095,10.776,0.0098,10.7818,0.0095,10.7733,0.0103,3.68,2686751615.0
62,114.49,1585661468,1,0,201252.64-564719.9,303.219288,-56.788901,36,36,58317.5438,0,0.535,,,,,,,,,,,,,,,,,,,,,,,,,19.9142,0.046,20.1557,0.1618,20.0092,0.141,,,,,,,12.78,481592701.0
63,115.88,481595865,7,0,201248.97-564954.7,303.204096,-56.831932,36,36,58302.7388,0,0.793,,,,,,,,,,,,,20.178,0.0532,20.1589,0.1284,20.1518,0.0446,19.6059,0.1003,19.4115,0.0798,19.6084,0.0425,19.3064,0.0469,19.3215,0.1196,19.2364,0.0673,,,,,,,14.73,1585661441.0
64,115.97,481595914,12,0,201314.73-564914.3,303.311401,-56.820667,36,36,58144.0619,0,0.972,,,,,,,,,,,,,19.0987,0.0339,19.1373,0.0735,19.1029,0.0327,18.624,0.0586,18.651,0.052,18.6208,0.0414,18.2845,0.0119,18.3242,0.0335,18.2666,0.0204,18.1062,0.031,18.0924,0.0774,18.131,0.0409,15.0,
65,117.01,481592701,15,0,201251.23-564725.8,303.213563,-56.790564,36,36,58368.3307,0,0.98,,,,,,,,,,,,,19.0558,0.0152,19.1068,0.034,19.0597,0.02,18.6517,0.0171,18.7155,0.0869,18.673,0.0215,18.3762,0.0127,18.4421,0.0391,18.3866,0.021,18.2542,0.0328,18.2366,0.0623,18.287,0.0381,11.83,1585661465.0
66,117.4,481595918,25,3,201313.66-564944.3,303.307012,-56.829032,46,51,57927.9998,0,0.913,,,,,,,,,,,,,18.4536,0.1616,18.1251,0.0879,18.7669,0.0988,18.1839,0.0843,17.6881,0.0762,18.144,0.0357,17.5786,0.0428,17.3168,0.0471,17.6317,0.0167,17.3499,0.0391,17.1305,0.028,17.3723,0.0179,5.3,481595919.0
67,117.57,2686751615,0,24,201314.86-564827.7,303.311942,-56.807696,36,36,59305.7355,12,0.713,16.78,,16.9798,,16.8142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68,481595915.0
68,118.0,481595871,3,30,201258.04-565047.9,303.24186,-56.846698,36,36,57654.7595,19366,1.0,9.0133,0.0805,9.0122,0.0372,9.0129,0.0467,8.6195,0.0372,8.617,0.0333,8.615,0.037,7.9344,,8.5284,,8.5543,,8.3694,,8.8133,,8.8378,,8.6481,,9.0686,,9.0981,,8.6325,,9.2623,,9.2723,,15.0,
69,118.87,2686751554,0,1024,201302.20-565050.7,303.259168,-56.847436,36,36,58317.5466,1,0.992,15.9802,,17.36,,17.1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.79,481595874.0
70,119.36,1585661472,2,0,201254.72-564704.1,303.227941,-56.784529,128,104,58317.5416,0,0.502,,,,,,,,,,,,,,,,,,,20.2677,0.1379,20.4771,0.2395,20.2752,0.0942,19.8328,0.1373,19.894,0.2003,19.7858,0.1154,,,,,,,10.47,481592703.0
